#_	_
button.back	Back
rules.characterstats.2	Each character is basically a collection of weapons, armor, and magic items, with three stats: Level, Race, and Class.<br><br>Level: This is a measure of how generally buff and studly you are. When the rules or cards refer to your Level, capitalized, they mean this number. You gain a level when you kill a monster, or when a card says that you do. You can also sell Items to buy levels (see Items).Your Level can never go below 1. However, your combat strength can be negative, if you get hit by a Curse or suffer some other kind of penalty.<br><br>Class: In the base set, characters may be Warriors, Wizards, Thieves, or Clerics. If you have no Class card in front of you, you have no class. Yeah, I know, we did that one already. Each Class has special abilities, shown on the cards. You gain the abilities of a Class the moment you play its card in front of you, and lose them as soon as you discard that card. Some Class abilities are powered by discards. You may discard any card, in play or in your hand, to power a special ability, unless the ability specifies otherwise. See the Class cards for when abilities can be used. You can discard a Class card at any time during your turn, or whenever you have a jump-in window, even during combat: “I don’t wanna be a wizard anymore.” When you discard a Class card, you become classless until you play another Class card. You may not belong to more than one Class at once unless you play the Super Munchkin card.<br><br>Race: In the base set, characters may be Humans, Elves, Dwarves, or Halflings. If you have no Race card in front of you, you are human. Humans have no special abilities. The rules for Classes, above, also apply to Races. You may not belong to more than one Race at once unless you play the Half-Breed card.
rules.characterstats.3	Super Munchkin and Half-Breed
rules.characterstats.4	These cards may be played whenever it is legal to play a Class or Race, as long as you have an appropriate card (Class for Super Munchkin, Race for Half-Breed) to attach it to. You cannot have more than one of the same Class or Race card in play at once.<br><br>If you play Super Munchkin with one Class, you get all the advantages of being that Class (the ability to equip Class-only Items, monsters with penalties against that Class suffer those penalties) and none of the disadvantages (you can equip Items forbidden to that Class, and monsters do not get bonuses because of your Class). If the Class has an ability that has a cost, however, you must still pay it – you aren’t that Super! If you play Super Munchkin  while you have two Classes, you have all the normal advantages and disadvantages of both Classes. (All of the above is also true for Half-Breed, just for Races.)
rules.death.1	Death
rules.death.2	If you die, you lose all your stuff. You keep your Classes, Races, and Level (and any Curses that were affecting you when you died) – your new character will look just like your old one. If you have Half-Breed or Super Munchkin, keep those as well. Once you have died, you don’t have to Run Away from any remaining monsters.<br><br>Looting The Body: The rest of your cards are presented to other players for looting. Starting with the player with the highest Level, everyone else chooses one card. Once everyone gets one card, discard the rest. If your corpse runs out of cards, tough. Looted cards go into players’ hands. Dead characters cannot receive cards for any reason, not even Charity, and cannot level up or win the game.<br><br>When the next player begins their turn, your newly revived character appears and can help others in combat with your Level and Class or Race abilities . . . but you have no cards, unless you receive Charity or gifts from other players. On your next turn, you draw four face-down cards from each deck and play any legal cards you want to, just as when you started the game. Then your turn continues as normal.
rules.monsters.1	Monsters
rules.monsters.2	If drawn face-up, during the Kick Open The Door phase, monsters immediately attack the person who drew them.<br><br>If you get a monster card any other way, it goes into your hand and may be played during your own turn to Look For Trouble, or played to join another player’s fight with the Wandering Monster card. (See Fighting Multiple Monsters)<br><br>Each monster card is a single monster, even if the name on the card is plural.
rules.monsters.3	Monster Enhancers
rules.monsters.4	Certain cards, called monster enhancers, raise or lower the combat strength of individual monsters. They also affect the number of Treasures the monsters are worth. Monster enhancers may be played by any player during any combat.<br><br><br>All enhancers on a single monster add together. If there are multiple monsters in a combat, the person who plays each enhancer must choose which monster it applies to.<br><br><br>Exception: Anything that enhances a monster also enhances its Mate . . . if Ancient, Enraged, and Mate are played on a single monster, in any order, you are facing an Ancient Enraged monster and its Ancient Enraged Mate. Good luck . . .
rules.monsters.5	Fighting Multiple Monsters
rules.monsters.6	Some cards (such as Wandering Monster) allow your rivals to send other monsters to join the fight. You must defeat their combined combat strengths. Any special abilities, such as forcing you to fight with your Level only, apply to the entire fight. If you have the right cards, you can eliminate one monster from the combat and fight the other(s) normally, but you cannot choose to fight one and Run Away from the other(s). If you eliminate one monster, but then run from the other(s), you don’t get any levels or Treasure!
rules.monsters.7	Undead Monsters
rules.monsters.8	Some monsters are tagged Undead. You may play any Undead monster from your hand into combat to help any other Undead, without using a Wandering Monster card. If you have a card that can be used to make a monster Undead, you may play it with a non-Undead monster to use this rule.
rules.overview.1	Overview
rules.overview.2	Character Creation
rules.overview.3	Everyone starts as a Level 1 Human with no Class. (Heh, heh.) Munchkin characters may be either male or female.<br><br>At the start of the game one player is randomly chosen to be the start player. Before the start player's turn, each player has an opportunity to play Race, Class, and Item cards from their hand.
rules.overview.4	Goal of the Game
rules.overview.5	The first player to reach Level 10 wins . . . but you must reach Level 10 by killing a monster, unless a card specifically allows you to win another way.
rules.overview.6	Turn Phases
rules.overview.7	Your turn begins as soon as the previous player’s turn ends. When your cards are arranged the way you want, go to phase 1.<br><br>(1) Kick Open The Door<br><br>Draw one card from the Door deck and turn it face up. If it’s a monster, you must fight it. If the card is a Curse it applies to you immediately and is discarded (unless it has a persistent effect or you keep the card as a reminder of an upcoming effect). If you draw any other card, you may either put it in your hand or play it immediately.
rules.overview.8	(2) Look For Trouble/Loot The Room<br><br>If you fought a monster in phase 1, skip this phase and go to phase 3. If you did NOT draw a monster when you first opened the door, you have two choices: either Look For Trouble or Loot The Room.<br><br>Look For Trouble: Play a monster from your hand and fight it, just as if you had found it when you kicked open the door. Don’t play a monster you can’t handle, unless you’re sure you can count on getting help!<br><br>Loot The Room: Draw a second card from the Door deck, face down, and place it in your hand.
rules.overview.9	(3) Charity<br><br>If you have more than five cards in your hand, you must play enough cards to get you to five or below – for instance, you can play Curses, sell Items from your hand, or play Items to the table. If you cannot reduce your hand to five cards, or do not want to, you must give the excess cards to the player with the lowest Level. If players are tied for lowest,  the cards are divided as evenly as possible, but it’s up to you who gets the bigger set of leftovers. If YOU are the lowest or tied for lowest, just discard the excess. As soon as you are finished with Charity, the next player’s turn begins.
rules.overview.10	When You May Take Actions
rules.overview.11	You may perform these actions at any time during your turn or whenever you have a jump-in window:<br><br>•Discard a Class or Race.<br>•Play a Go Up a Level or Hireling.<br>•Play a Curse.
rules.overview.12	You may perform these actions at any time during your turn or whenever you have a jump-in window, as long as you are not in combat:<br><br>•Trade an Item with another player (the other player may not be in combat, either).<br>•Change which Items you have equipped.<br>•Play a card that you have just received (some cards may be played even during combat; see above).
rules.overview.13	You may perform these actions on your own turn:<br><br>•Play a new Class or Race card (at any time).<br>•Sell Items for levels (except when you are in combat).     <br>•Play an Item (most Items cannot be played during combat, but some one-shot Items can if they say so)
rules.treasures.1	Treasures
rules.treasures.2	Treasure cards include permanent and “one-shot” cards. Any Treasure card may be played as soon as you get it, or at any time on your own turn except during combat (unless the rules below or the card itself says otherwise).
rules.treasures.3	Items
rules.treasures.4	Most Treasures are Items. Items have a Gold Piece value. All Items you have in play are considered “carried.” Items that are actually giving you a bonus are “equipped.” You may not alter the status of your Items during a combat or while running away.<br><br>Anyone can carry any Item (except for extra Big items; see below), but you may equip only one Headgear, one suit of Armor, one pair of Footgear, and two “1 Hand” Items (or one “2 Hands” Item) . . . unless you have a card that lets you ignore these limits, such as Hireling or Cheat!, or unless one of the cards says otherwise. If you are carrying two Headgear cards, for instance, you can equip only one of them at a time.<br><br>Likewise, some Items have restrictions: for instance, the Mace of Sharpness can only be wielded by a Cleric. Its bonus only counts for someone who is, at the moment, a Cleric.<br><br>You may sell Items for a level, trade Items with other players, or give an Item to another player who wants it (see below). You may discard Items to power certain Class and Race abilities. And a Curse or a monster’s Bad Stuff may force you to get rid of something!<br><br>Big Items: You may carry any number of small items, but only one Big one. (Any item not marked Big is considered small.) You may not discard one Big item to play another; you must sell the first Item, trade it, lose it to a Curse or Bad Stuff, or discard it to power a Class or Race ability.<br><br>If something lets you have more than one Big item (for instance, the Dwarf race) and you lose that ability, you must either correct the problem immediately or get rid of all but one Big item. If it’s your turn and you’re not in combat, you can sell the excess Big items (as long as you have at least 1,000 Gold Pieces of Items to sell). Otherwise, you must give them to the lowest-Level player(s) who can carry them! If any Big items are still left over, discard them.<br><br>Trading: You may trade Items (but no other cards) with other players. You may only trade Items in play – not from your hand. You may trade at any time except when you or your trading partner are in combat – in fact, the best time to trade is when it’s not your turn. Any Item you receive in a trade must remain in play. You may also give Items away without a trade, to bribe other players not to offer help in combat this turn. <br><br>Selling Items for Levels: At any point during your turn except during combat or Running Away, you may discard Items worth a total of at least 1,000 Gold Pieces and immediately go up one level. If you discard (for instance) 1,100 Gold Pieces worth, you don’t get change. But if you can manage 2,000 worth, you can go up two levels at once, and so on. You may sell Items from your hand as well as those you are carrying. You may not sell Items to go to Level 10.
rules.treasures.5	“One-Shot” Treasures
rules.treasures.6	A Treasure card that says “Usable once only” is referred to as a “one-shot” Treasure. Most of these are used during combat to strengthen the munchkins or the monsters, and may be played from your hand or from your carry area. One-shot items are discarded after use. One-shot Items with a Gold Piece value may be sold for levels, just like other Items.
rules.treasures.7	Other Treasures
rules.treasures.8	Other Treasure cards (like Go Up a Level cards) are not Items. Most of these cards say when they can be played, and whether they stay in play or are discarded.<br><br><br>A couple of specific examples:<br><br><br>Go Up a Level cards may be played on yourself or any other player at any time during your turn or whenever you have a jump-in window. Discard them once they are played. Exception: You cannot play a Go Up a Level card to give a player the winning level!<br><br><br>Hireling may be played at any time during your turn or whenever you have a jump-in window. You cannot give a Hireling an Item to carry while you are in combat, however.
rules.variants.1	Variants
rules.variants.2	The following variant rules can be toggled on and off when creating a game.
rules.variants.3	Faster Play Rules
rules.variants.4	For a faster game, you can add a “phase 0” called Listen At The Door. At the start of your turn before doing anything else, draw a face-down Door card, which you may play or not. Then arrange cards and Kick Open The Door normally. If you Loot The Room, draw a face-down Treasure, not a Door.
rules.variants.7	Gender Neutral
rules.variants.8	"Gender matters" cards are removed from the game.
rules.combatoverview.1	Combat Overview
rules.combatoverview.2	To fight a monster, compare its combat strength to yours. Combat strength is the total of Level plus all modifiers – positive or negative – given by Items and other cards. If the monster’s combat strength is equal to yours, or greater, you lose the combat and must Run Away. If your combat strength totals more than the monster’s – note that monsters win ties! – you kill it and go up a level (two levels for some big monsters). You’ll also get the number of Treasures shown on its card.<br><br>Sometimes a card will let you get rid of the monster without killing it. This is still “winning,” but you don’t get a level. Unless the ability says otherwise, you don’t get the Treasures, either. If the last monster is removed from a combat, it ends instantly.<br><br>You and the other players may play one-shot Treasures or use Class or Race abilities to help or harm you in your combat. Some Door cards may also be played into a combat, such as monster enhancers.<br><br>If you kill a monster (or monsters!), discard the monster(s) and any other cards played, and claim your rewards.
rules.combatoverview.3	Interfering With Combat
rules.combatoverview.4	You can interfere with others’ combats in several ways, including:<br><br>•Use a one-shot card. You could help another player by using a one-shot to strengthen their side. Of course, you can “accidentally” strengthen the monster with it, instead . . .<br>•Play a monster enhancer. These cards (usually) make a monster stronger . . . and give it more Treasure. You can play these either during your own combats or during someone else’s combat.<br>•Add a monster from your hand to join the combat, either with a Wandering Monster card or by using the special Undead rule.<br>•Backstab a player in combat, if you’re a Thief.<br>•Curse them, if you have a Curse card.
rules.curses.1	Curses
rules.curses.2	If drawn face-up during the Kick Open The Door phase, Curse cards apply to the person who drew them. If acquired some other way, such as by Looting The Room, Curse cards go into your hand and may be played on any player at any time during your turn or whenever you have a jump-in window.<br><br>Usually, a Curse affects its victim immediately (if it can) and is then discarded. However, some Curses give a penalty later in the game or have a continuing effect. These Curses stay in play until you get rid of the Curse or the penalty takes effect. <br><br>Note: If someone plays a “your next combat” Curse on you while you are in combat, it counts in that combat! The same is true for a “your next turn” Curse played during your turn.
kin.setup.character.raceandclass	Choose an initial Race and/or Class?
kin.setup.character.raceandclass.opponent	Opponents are creating their characters
kin.setup.character.items	Choose initial equipped Items?
kin.setup.character.items.opponent	Opponents are creating their characters
kin.setup.character.opponent	Opponents are creating their characters
kin.jumpin	Would you like to take an action?
kin.jumpin.door	Take an action before [name] Kicks Open the Door?
kin.jumpin.attack	Take an action before [name] defeats monster(s)?
kin.jumpin.beginpursuit	Take an action before the monster begins pursuit of [name]?
kin.jumpin.endofturn	Take an action after [name] concluded their turn?
kin.jumpin.endofturn.opponent	Opponent is deciding what action to take before the turn ends.
kin.jumpin.runaway	Take an action before [name] rolls to run away?
kin.jumpin.postrunaway	Take an action after [name] rolled to run away?
kin.jumpin.postcombat	Take an action after [name] completed combat?
kin.jumpin.precurse	Take an action before [name] is cursed?
kin.jumpin.abilities	Take an action?
kin.playerturn.begin	Take actions before Kicking Open The Door?
kin.playerturn.begin.opponent	An opponent is considering actions before Kicking Open The Door.
kin.playerturn.lookfortrouble	Play the monster from your hand you want to fight.
kin.playerturn.draw	Kick Open
kin.playerturn.lookorloot	Look for Trouble or Loot the Room
kin.playerturn.end	Take actions before ending your turn?
kin.playerturn.end.opponent	An opponent is considering actions before ending their turn.
kin.core.play.class	Play a Class?
kin.core.play.curse	Play a Curse?
kin.core.play.item	Play an Item?
kin.core.play.race	Play a Race?
kin.core.play.special	Play a special card?
kin.core.play.monsterenhancer	Play a monster enhancer?
kin.core.play.combatoneshot	Choose which side to give strength to.
kin.playerturn.charity.lastchance	Play any cards before beginning Charity?
kin.playerturn.charity.discard	Choose [X] card(s) to discard.
kin.playerturn.charity.give	Choose [X] card(s) to give.
kin.playerturn.charity.giveplayer	Choose player to give Charity card(s).
kin.draw.play	Play the card(s) you just drew?
match.actions.opendoor	Open Door
match.actions.jumpin	Jump In
kin.combat.begin	Combat
kin.combat.begin.opponent	Opponent is in combat
match.actions.lootroom	Loot the Room
match.actions.lookfortrouble	Look for Trouble
kin.prompts.givelevelup	Give a level?
kin.core.play.goupalevel	Choose the player to go up a level
kin.base.door.cleric.turning	Choose up to [X] cards to discard for +3 Strength each.
kin.base.door.cleric.resurrection.discard	Choose [X] cards to discard for Resurrection.
kin.base.door.floatingnose.bribe	Discard an item worth at least 200 Gold Pieces to bribe Floating Nose?
kin.base.door.halfling.runaway	Choose a card to discard to reroll with Halfling.
kin.base.door.helpmeout.discard	You may discard a card before stealing.
kin.base.door.helpmeout.steal	Choose an Item to steal.
kin.base.door.helpmeout.steal.opponent	Opponent is choosing an item to steal with Help Me Out Here.
kin.base.door.illusion.remove	Choose a monster card to discard from combat.
kin.base.door.illusion.add	Choose a monster card to add to combat.
kin.base.door.lawyer.treasures	Drag 2 Treasures below to replace them with new ones or press skip to continue.
kin.base.door.pitbull.distract	To distract Pitbull, choose a wand, pole, or staff to discard.
kin.base.door.platycore.choose	Decide your fate.
kin.base.door.platycore.button.discardhand	Discard Hand
kin.base.door.platycore.button.loselevels	Lose 2 Levels
kin.base.door.snailsonspeed.discard	Lose [num] items or cards in your hand – your choice.
kin.base.door.stonedgolem.avoid	Fight or Wave to the Stoned Golem and walk past.
kin.base.door.thief.theft.discard	Choose a card to discard for Theft.
kin.base.door.thief.theft.steal	Choose a small Item to steal.
kin.base.door.thief.backstab.discard	Choose a card to discard for Backstab.
kin.base.door.thief.backstab.player	Choose an opponent.
kin.base.door.tonguedemon.loseitem	Choose an Item to discard because of the Tongue Demon.
kin.base.door.tonguedemon.loseitem.opponent	Waiting for player to discard a card to Tongue Demon.
kin.base.door.wanderingmonster.monster	Choose a monster card to add to combat.
kin.base.door.warrior.berserking.discard	Choose up to [X] cards to discard for +1 Strength.
kin.base.door.wizard.charm.monster	Choose a monster to charm.
kin.base.door.wizard.flight.discard	Choose up to 3 cards to discard for a +1 bonus to flee each.
kin.base.door.curse.losebigitem.discard	Choose a Big Item to discard.
kin.base.door.curse.losebigitem.discard.opponent	Opponent is choosing a Big Item to discard
kin.base.door.curse.loseclass.discard	Choose a Class to discard.
kin.base.door.curse.loseclass.discard.opponent	Opponent is choosing a Class to discard.
kin.base.door.curse.losesmallitem.discard	Choose a small Item to discard.
kin.base.door.curse.losesmallitem.discard.opponent	Opponent is choosing a small Item to discard.
kin.base.door.curse.obnoxious.discard	Choose an Item to discard that gives you the biggest strength bonus.
kin.base.door.curse.obnoxious.discard.opponent	Opponent is choosing an Item to discard that gives them the biggest strength bonus.
kin.base.door.supermunchkin.play	Play Super Munchkin
kin.base.door.halfbreed.play	Play Half Breed
kin.base.door.hippogriff.steal	Steal a card.
kin.base.door.hippogriff.steal.opponent	Waiting for players to determine choices for Bad Stuff.
kin.base.door.curse.incometax.select	Discard an Item
kin.base.door.curse.incometax.tax	Income Tax:<br>Discard cards totalling [num] Gold Pieces.
kin.base.door.curse.incometax.tax.opponent	Opponent is choosing items to discard for Income Tax.
kin.base.door.insurancesalesman.buy	Discard cards totalling 1000 Gold Pieces.
kin.base.door.insurancesalesman.buy.opponent	Opponent is choosing cards to discard to Insurance Salesman.
kin.base.door.divineintervention.jumpin.cleric	Play Cleric before [name] plays Divine Intervention?
kin.base.door.divineintervention.jumpin.cleric.opponent	Opponents are considering playing a Cleric before Divine Intervention resolves.
kin.base.treasure.item.ratonastick.discard	Choose a monster to escape.
kin.base.treasure.item.flaskofglue	Choose which player you want to reroll.
kin.base.treasure.hireling.monster	Choose a Monster to automatically escape from.
kin.base.treasure.play.halitosis	Play as a one-shot item or Kill the Floating Nose?
kin.base.treasure.kneepadsofallure.compelled	[name] compels you to help them in combat with the Kneepads of Allure! They're offering the following reward:
kin.base.lootthebody	Choose a card to loot from [name]'s dead body.
kin.base.lootthebody.opponent	Opponent is choosing a card to loot from [name]'s dead body.
kin.combat.askforhelp.players	Choose who to ask for help
kin.combat.askforhelp.bribe.type	Choose Bribe
kin.askforhelp.choosehowtreasure	Choose how to reward Treasures
kin.askforhelp.chooserandomtreasurecount	Choose how many random Treasures to give away
kin.askforhelp.choosewhopickstreasure	Choose who is awarded each pick of the monster's Treasure
kin.askforhelp.choosecardsoffer	Choose cards to offer your opponent
kin.askforhelp.bribeoffer	{0} has offered you the bribe shown in exchange for helping them in combat. Would you like to accept?
kin.askforhelp.sharetreasure	Share Treasure
kin.askforhelp.givecards	Give Cards
kin.askforhelp.none	None
kin.askforhelp.random	Random
kin.askforhelp.draft	Draft
kin.askforhelp.ntreasure	{0} Random Treasure
kin.askforhelp.onetreasure	One Random Treasure
kin.askforhelp.twotreasure	Two Random Treasures
kin.askforhelp.threetreasure	Three Random Treasures
kin.askforhelp.pickn	Pick {0}
kin.askforhelp.pickone	Pick One
kin.askforhelp.picktwo	Pick Two
kin.askforhelp.pickthree	Pick Three
kin.askforhelp.draft.you	You
kin.askforhelp.draft.them	Them
kin.core.sellitems	Choose Items to sell for levels.
kin.core.sellitems.opponent	Opponent is choosing Items to sell for levels.
kin.nocards	No Cards Available
kin.pile.race	Race
kin.pile.class	Class
kin.pile.carried	Carry
kin.pile.equipped	Equip
kin.pile.useonparticipant	Use on Munchkin
kin.pile.useonmonster	Use on Monster
kin.pile.enhancemonster	Enhance Monster
kin.runaway.activateability.preroll	Activate any run away abilities before the die is cast?
kin.runaway.activateability.postroll	Activate any run away abilities?
kin.core.play.item.swap	Choose Items to swap.
kin.core.play.class.replace	Choose a Class to replace.
kin.core.play.race.replace	Choose a Race to replace.
kin.core.play.magiclamp	Choose a Monster to make vanish.
kin.core.play.wishingring	Choose a Curse to cancel with the Wishing Ring.
kin.prompts.activatecurseonplayer	Choose a Player to Curse.
kin.confirm.discard.class	Discard Class?
kin.confirm.discard.race	Discard Race?
kin.die.preroll	Activate any die abilities before rolling?
kin.die.header	Rolling Die
kin.die.postroll	Activate any post die roll abilities?
kin.choosebadstuff.discard	Discard Hand
kin.choosebadstuff.losetwolevels	Lose Two Levels
kin.waitingforplayer.selectavatar	Press join button below to secure your spot.
kin.core.play.wandofdousing.pickcard	Choose a card to take from the discard pile with Wand of Dowsing.
kin.base.door.cheat.item	Pick an item to play with Cheat!
kin.jumpin.door.active	Take an action before Kicking Open the Door?
kin.jumpin.attack.active	Take an action before defeating the monsters?
kin.jumpin.beginpursuit.active	Take an action before beginning pursuit?
kin.jumpin.runaway.active	Take an action before rolling to run away?
kin.jumpin.postrunaway.active	Take an action after the runaway roll?
kin.jumpin.postrunaway.opponent	Opponent is considering actions.
kin.jumpin.postcombat.active	Take an action now that combat is complete?
kin.jumpin.precurse.active	Take an action before the curse is resolved?
kin.core.play.undead	Add undead to combat
kin.prompt.askforhelp.draft.header	Select Draft Order
kin.askforhelp.draft.yourpick	Your Pick
kin.askforhelp.draft.opponentpick	Opponent Picks
kin.core.play.monsterenhancer.selectmonster	Choose a monster to enhance
kin.prompt.swapitem.message	Would you like to swap to the new item?
kin.base.door.leperchaun.discard	Choose an enemy item to discard to the Leprechaun.
kin.base.door.leperchaun.discard.opponent	Waiting for players to determine choices for Bad Stuff.
kin.runaway.choose.monster	Choose which monster to run away from.
kin.runaway.choose.monster.opponent	Opponent is choosing which monster to run away from first.
kin.setup.character.raceclass	Choose an initial Race and/or Class?
kin.setup.character.raceclass.opponent	Waiting for opponents to finish creating their character.
kin.setup.character.item	Choose initial equipped Items?
kin.setup.character.item.opponent	Waiting for opponents to finish creating their character.
kin.core.play.pollymorph	Choose a monster to turn into a parrot.
kin.core.play.killhireling	Choose the Hireling to kill
kin.combat.askforhelp.player.helper	Choose a player to receive help from
kin.combat.askforhelp.player.helper.opponent	Opponent is choosing a player to receive help from.
kin.combat.askforhelp.response	[name] is Asking for Help
kin.combat.askforhelp.response.subheader	You will receive the following rewards for helping win this combat.
kin.bribes.none	Nothing
kin.askforhelp.receivecards	These Cards
kin.thief.roll	Theft Roll
kin.discardpile.treasure.header	Treasure Discard Pile
kin.discardpile.door.header	Door Discard Pile
kin.discardpile.choose.header	Choose Deck
kin.combat.rewards.pre.draw	Use any abilities before drawing Treasures?
kin.modifyroll.subheader	Choose a Number
kin.discardpile.view.header	Discard Piles
kin.badstuff.roll	Bad Stuff Roll
dialogmessages.aitakeover	You ran out of time to make a move, so your turn was taken by an AI. Make your next move in the allowed time or you will be removed from the game.
kin.base.door.hireling.item	Choose an Item for the Hireling to carry
kin.base.door.hireling.item.swap	Choose an Item to swap with what the Hireling is carring
kin.jumpin.postroll	Take an action after [name] rolled a die?
kin.modifyroll.header	Set the Number
kin.askforhelp.draftrequest	Draft {0} Treasure
kin.combat.askforhelp.waiting	Waiting for responses
prompt.charity.header	Charity
kin.modifyroll.minimumrequired	{0} or more Required to Escape
kin.reconcile.lastchance	You have too many Big items. Sell them or press Continue to give them away to opponents.
kin.reconcile.lastchance.sell	Choose items to sell before giving them away.
kin.reconcile.charity.discard	Too many Big items. Choose [X] out of [X2] to discard.
kin.reconcile.charity.discard.opponent	Opponent is choosing big items to discard since they have too many.
kin.reconcile.charity.give	Choose Big items to give away to [name].
kin.reconcile.charity.give.opponent	Opponent is choosing Big items to give away.
kin.reconcile.charity.giveplayer	Choose the opponent to give a Big item to.
kin.resurrection.header	Cleric - Resurrection
kin.core.play.race.replace.alt	Playing this race will discard your current race.  Are you sure you want to continue?
kin.core.play.class.replace.alt	Playing this class will discard your current class.  Are you sure you want to continue?
kin.jumpin.precurse.opponent	Opponent is choosing to respond to a curse or not.
kin.jumpin.abilities.opponent	Opponent is choosing an action to take.
kin.playerturn.charity.discard.opponent	Opponent is choosing cards to discard for charity.
kin.playerturn.lookorloot.opponent	Opponent is choosing to Loot the Room or Look for Trouble.
kin.base.door.cleric.resurrection.discard.opponent	Opponent is choosing a card to discard to pay for Resurrection.
kin.combat.rewards.pre.draw.opponent	Opponent is choosing an action to take before treasures are drawn.
kin.draw.play.opponent	Opponent is considering if they want to play the card they just drew.
kin.prompt.swapclass.message	Would you like to swap to the new class?
kin.prompt.swaprace.message	Would you like to swap to the new race?
kin.core.play.stealalevel	Choose the player to steal a level from
kin.thief.roll.loadeddie	4 or more required to steal item.
kin.combat.askforhelp.response.opponent	Opponent is considering an Ask for Help request
kin.trade.item.accept.opponent	Opponent is considering a Trade offer
kin.jumpin.confirm.opponent	Opponent is Jumping In
kin.jumpin.stack.opponent	Opponent is Jumping In
kin.jumpin.opponent	Opponent is deciding if they would like to Jump In.
kin.jumpin.door.opponent	Opponent is deciding what action to take after Jumping In
kin.jumpin.attack.opponent	Opponent is deciding what action to take before the monster(s) is defeated.
kin.jumpin.beginpursuit.opponent	Opponent is deciding what action to take before the monster begins pursuit.
kin.jumpin.runaway.opponent	Opponent is deciding what action to take before the Run Away roll.
kin.jumpin.postcombat.opponent	Opponent is deciding what action to take after the combat completed.
kin.base.door.curse.incometax.select.opponent	Opponent is choosing items to discard for Income Tax.
kin.playerturn.draw.opponent	An opponent is considering actions before Kicking Open The Door.
kin.combat.rewards.draft.pick.opponent	Opponent is drafting a Treasure card.
kin.base.door.nettroll.steal.opponent	Waiting for players to determine choices for Bad Stuff.
kin.player.changegear.opponent	Waiting for opponent for configure their items.
kin.playerturn.charity.lastchance.opponent	Waiting for opponent to decide what to discard to Charity.
kin.playerturn.charity.give.opponent	Waiting for opponent to decide who to give Charity to
kin.playerturn.charity.giveplayer.opponent	Waiting for opponent to decide who to give Charity to
kin.jumpin.postroll.opponent	Waiting for opponent to take actions before resolving the roll
kin.reconcile.lastchance.opponent	Waiting for opponent carrying too many Big items to discard some.
kin.reconcile.charity.giveplayer.opponent	Waiting for opponent carrying too many Big items to give away some.
kin.base.door.snailsonspeed.discard.opponent	Waiting for players to determine choices for Bad Stuff.
kin.base.door.platycore.choose.opponent	Waiting for players to determine choices for Bad Stuff.
kin.combat.askforhelp.bribe.selections.opponent	Opponent is making an Ask for Help offer.
kin.combat.askforhelp.players.opponent	Opponent is making an Ask for Help offer.
kin.combat.askforhelp.bribe.type.opponent	Opponent is making an Ask for Help offer.
kin.runawaysuccess.ability	Activate any abilities after a succesful Run Away?
kin.runaway.badstuff	Activate any abilities after a failed Run Away?
kin.runawaysuccess.ability.opponent	Opponent is choosing to activate any abilities after a succesful Run Away?
kin.runaway.badstuff.opponent	Opponent is choosing to activate any abilities after a failed Run Away?
kin.runaway.rolltarget	Minimum Roll to Escape: [X]
kin.base.door.nettroll.steal	Choose an Item to steal.
kin.tooltip.1	kin.tooltip.1
kin.tooltip.gender.male	Male
kin.tooltip.gender.female	Female
kin.tooltip.editcharacter	Edit Character
kin.tooltip.genderneutral	<b>Gender Neutral</b><br>Cards that care about gender are removed from the game.
kin.tooltip.fastplay	<b>Fast Play</b><br>For players wishing to play a faster game.<br>At the start of each players turn they draw a face-down Door card, which they may play or not. When players Loot The Room, they draw from the treasure deck instead of the door deck.
kin.tooltip.sharedvictory	Shared Victory
kin.tooltip.playerhud.strength	Strength
kin.tooltip.race.human	<b>Human:</b><br>No Special Abilities
kin.tooltip.race.dwarf	<b>Dwarf:</b><br>You can carry any number of Big Items.<br>You can have six cards in your hand.
kin.tooltip.race.elf	<b>Elf:</b><br>+1 to Run Away.<br>You go up one level for every monster you <i>help someone else</i> kill.
kin.tooltip.race.halfling	<b>Halfling:</b>
You may sell one Item each turn for double price (other Items are at normal price).<br>If you fail your initial Run Away roll, you may discard a card and try once more.
kin.tooltip.class.none	No Class
kin.tooltip.class.cleric	<b>Cleric:</b><br><b>Resurrection:</b> When it is time for you to draw cards face-up, you may instead take some or all from the top of the appropriate <i>discard</i> pile.<br>You must then discard one card from your hand for each card so drawn.<br><b>Turning:</b> You may discard up to three cards in combat against an Undead creature. Each discard gives you a +3 bonus.
kin.tooltip.class.thief	<b>Thief:</b><br><b>Backstabbing:</b> You may discard a card to backstab another player (-2 in combat). You may do this only once per victim per combat, but if two players are fighting a monster together, you may backstab each of them.<br><b>Theft:</b> You may discard a card to try to steal a small Item carried by another player. Roll a die; 4 or more succeeds. Otherwise, you get whacked and lose a level.
kin.tooltip.class.warrior	<b>Warrior:</b><br><b>Berserking:</b> You may discard up to three cards in combat; each one gives you a +1 bonus.<br>You win ties in combat.
kin.tooltip.class.wizard	<b>Wizard:</b><br><b>Flight Spell:</b> You may discard up to three cards after rolling the die to Run Away; each one gives you a +1 bonus to flee.<br><b>Charm Spell:</b> You may discard your whole hand (minimum three cards) to charm a single Monster instead of fighting it. Discard the Monster and take its Treasure, but don’t gain levels. If there are other monsters in the combat, fight them normally.
kin.tooltip.slowplay	Slow Play
kin.tooltip.inventory	View Inventory
kin.tooltip.askforhelp	Ask For Help
