#_	_
button.back	Retour
base.treasure.38254fbc-79f9-48fc-ae10-ebe6ee0fbb4d.text	À jouer pendant n’importe quel combat. Bonus de +2 accordé à un camp au choix. Usage unique.
base.treasure.0c2c5abd-aea7-418e-9e9e-a2e19fe3d2ef.text	Utilisable une seule fois, pendant le combat. Transforme n’importe quel monstre en joli perroquet appelé Polly, qui s’envole en abandonnant son trésor. Usage unique.
base.treasure.adb879cd-9d2b-408a-bac2-54a0bcad9e18.text	À jouer pendant n’importe quel combat. Bonus de +2 accordé à un camp au choix, ou tue instantanément <b>le nez flottant.</b> Usage unique.
base.treasure.89f5f35f-d81e-4a95-8cc5-a9c188522bce.text	À jouer pendant n’importe quel combat. Bonus de +2 accordé à un camp au choix. Usage unique.
base.treasure.ec6ba1d5-3ecf-40a2-82b1-592fc7799d5c.text	À jouer pendant n’importe quel combat pour distraire l’ennemi. Bonus de +5 accordé à un camp au choix. Usage unique.
base.treasure.6677b88d-6f08-49e9-adc0-5125f4549f41.text	Défaussez cette carte pour échapper automatiquement à n’importe quel monstre de niveau 8 ou inférieur.
base.treasure.7bc68e56-6b74-4c4e-80f1-d76e7456759b.text	Les cartes de Malédiction que vous tirez en défonçant les portes n’ont aucun effet. Les Malédictions lancées sur vous par d’autres joueurs vous affectent cependant normalement.
base.treasure.8ca5bc1d-d31a-404f-8a2c-08d684acb661.text	À jouer pendant n’importe quel combat. Bonus de +2 accordé à un camp au choix. Usage unique.
base.treasure.93c7eb95-8657-4ae8-bdb7-21ab2029cbd0.text	À jouer pendant n’importe quel combat. Un autre joueur de votre choix combat le ou les monstres. Il peut demander de l’aide normalement, et obtient le trésor et les niveaux s’il l’emporte. Le joueur qui combattait à l’origine reprend alors son tour, et peut piller la pièce, que le combat ait été remporté ou perdu. Usage unique.
base.treasure.d6b481cd-18fc-4de3-a5e3-95f0858bf832.text	Ce délicat instrument subjugue vos ennemis vous conférant un bonus de +3 pour déguerpir. Si vous réussissez à fuir, tirez une carte Trésor face cachée.
base.treasure.c337a23b-3fa8-4295-96b7-e3706cdba824.text	Parcourez les défausses pour trouver la carte de votre choix. Prenez-la et défaussez la baguette de sourcier.
base.treasure.bd195b65-4e6a-4674-aa26-b6562b50a7d2.text	Annule n’importe quelle Malédiction. Peut être joué n’importe quand. Usage unique.
base.treasure.bb8ffb65-35e4-4dcf-9860-af3bd016953b.text	À jouer pendant n’importe quel combat. Utilisable une fois, et seulement sur les Elfes. Confère un bonus de +2 à chaque Elfe engagé dans la bataille.
base.treasure.f233b5ea-f811-4ea6-b518-cda41543639a.text	Ce laquais qui vous suit et vous sert de porteur vous permet de porter et d’utiliser un Gros objet supplémentaire, mais il ne se battra pas pour vous… si vous perdez votre serviteur, vous perdez aussi votre gros objet. Vous pouvez défausser votre serviteur pour vous permettre de fuir automatiquement contre n’importe quel monstre.
base.treasure.a685c4ed-40a4-4cd8-a640-02aa65d2c768.text	Tirez immédiatement trois nouvelles cartes de trésor. Elles sont tirées face cachée si vous avez tiré cette carte face cachée, et face visible dans le cas contraire.
base.treasure.d45aaf27-559f-488f-a477-d6858bb56fad.text	Choisissez un joueur auquel vous volez un niveau. Vous gagnez un niveau, et il en perd un.
kin.item.requirements.class.cleric	Réservé aux Prêtres
kin.item.requirements.class.thief	Réservée aux Voleurs
kin.item.requirements.class.warrior	Réservé aux Guerriers
kin.item.requirements.class.wizard	Réservé aux Magiciens
kin.item.requirements.race.human	Réservé aux Humains
kin.item.requirements.race.dwarf	Réservé aux Nains
kin.item.requirements.race.elf	Réservé aux Elfes
kin.item.requirements.race.halfling	Réservé aux Halfelins
kin.item.requirements.gender.male	Réservé aux joueurs (ou aux joueuses qui ont changé de sexe).
kin.item.requirements.gender.female	Réservé aux joueuses (ou aux joueurs qui ont changé de sexe).
kin.item.requirements.notclass.cleric	Interdit aux prêtres
kin.item.requirements.notclass.thief	Interdite aux Voleurs
kin.item.requirements.notclass.warrior	Interdit aux Guerriers
kin.item.requirements.notclass.wizard	Interdite aux Magiciens
kin.item.requirements.notrace.human	
kin.item.requirements.notrace.dwarf	
kin.item.requirements.notrace.elf	
kin.item.requirements.notrace.halfling	
rules.askingforhelp.1	
rules.askingforhelp.2	
rules.askingforhelp.3	
rules.askingforhelp.4	
rules.characterstats.1	
rules.characterstats.2	
rules.characterstats.3	
rules.characterstats.4	
rules.death.1	
rules.death.2	
rules.monsters.1	
rules.monsters.2	
rules.monsters.3	
rules.monsters.4	
rules.monsters.5	
rules.monsters.6	
rules.monsters.7	
rules.monsters.8	
rules.overview.1	
rules.overview.2	
rules.overview.3	
rules.overview.4	
rules.overview.5	
rules.overview.6	
rules.overview.7	
rules.overview.8	
rules.overview.9	
rules.overview.10	
rules.overview.11	
rules.overview.12	
rules.overview.13	
rules.treasures.1	
rules.treasures.2	
rules.treasures.3	
rules.treasures.4	
rules.treasures.5	
rules.treasures.6	
rules.treasures.7	
rules.treasures.8	
rules.variants.1	
rules.variants.2	
rules.variants.3	
rules.variants.4	
rules.variants.7	
rules.variants.8	
rules.combatoverview.1	
rules.combatoverview.2	
rules.combatoverview.3	
rules.combatoverview.4	
rules.curses.1	
rules.curses.2	
kin.setup.character.raceandclass	
kin.setup.character.raceandclass.opponent	
kin.setup.character.items	
kin.setup.character.items.opponent	
kin.setup.character.opponent	
kin.jumpin	
kin.jumpin.door	
kin.jumpin.attack	
kin.jumpin.beginpursuit	
kin.jumpin.endofturn	
kin.jumpin.endofturn.opponent	
kin.jumpin.runaway	
kin.jumpin.postrunaway	
kin.jumpin.postcombat	
kin.jumpin.precurse	
kin.jumpin.abilities	
kin.playerturn.begin	
kin.playerturn.begin.opponent	
kin.playerturn.lookfortrouble	
kin.playerturn.draw	
kin.playerturn.lookorloot	
kin.playerturn.end	
kin.playerturn.end.opponent	
kin.core.play.class	
kin.core.play.curse	
kin.core.play.item	
kin.core.play.race	
kin.core.play.special	
kin.core.play.monsterenhancer	
kin.core.play.combatoneshot	
kin.playerturn.charity.lastchance	
kin.playerturn.charity.discard	
kin.playerturn.charity.give	
kin.playerturn.charity.giveplayer	
kin.draw.play	
match.actions.opendoor	
match.actions.jumpin	
kin.combat.begin	
kin.combat.begin.opponent	
match.actions.lootroom	
match.actions.lookfortrouble	
kin.prompts.givelevelup	
kin.core.play.goupalevel	
kin.base.door.cleric.turning	
kin.base.door.cleric.resurrection.discard	
kin.base.door.floatingnose.bribe	
kin.base.door.halfling.runaway	
kin.base.door.helpmeout.discard	
kin.base.door.helpmeout.steal	
kin.base.door.helpmeout.steal.opponent	
kin.base.door.illusion.remove	
kin.base.door.illusion.add	
kin.base.door.lawyer.treasures	
kin.base.door.pitbull.distract	
kin.base.door.platycore.choose	
kin.base.door.platycore.button.discardhand	
kin.base.door.platycore.button.loselevels	
kin.base.door.snailsonspeed.discard	
kin.base.door.stonedgolem.avoid	
kin.base.door.thief.theft.discard	
kin.base.door.thief.theft.steal	
kin.base.door.thief.backstab.discard	
kin.base.door.thief.backstab.player	
kin.base.door.tonguedemon.loseitem	
kin.base.door.tonguedemon.loseitem.opponent	
kin.base.door.wanderingmonster.monster	
kin.base.door.warrior.berserking.discard	
kin.base.door.wizard.charm.monster	
kin.base.door.wizard.flight.discard	
kin.base.door.curse.losebigitem.discard	
kin.base.door.curse.losebigitem.discard.opponent	
kin.base.door.curse.loseclass.discard	
kin.base.door.curse.loseclass.discard.opponent	
kin.base.door.curse.losesmallitem.discard	
kin.base.door.curse.losesmallitem.discard.opponent	
kin.base.door.curse.obnoxious.discard	
kin.base.door.curse.obnoxious.discard.opponent	
kin.base.door.supermunchkin.play	
kin.base.door.halfbreed.play	
kin.base.door.hippogriff.steal	
kin.base.door.hippogriff.steal.opponent	
kin.base.door.curse.incometax.select	
kin.base.door.curse.incometax.tax	
kin.base.door.curse.incometax.tax.opponent	
kin.base.door.insurancesalesman.buy	
kin.base.door.insurancesalesman.buy.opponent	
kin.base.door.divineintervention.jumpin.cleric	
kin.base.door.divineintervention.jumpin.cleric.opponent	
kin.base.treasure.item.ratonastick.discard	
kin.base.treasure.item.flaskofglue	
kin.base.treasure.hireling.monster	
kin.base.treasure.play.halitosis	
kin.base.treasure.kneepadsofallure.compelled	
kin.base.lootthebody	
kin.base.lootthebody.opponent	
kin.combat.askforhelp.players	
kin.combat.askforhelp.bribe.type	
kin.askforhelp.choosehowtreasure	
kin.askforhelp.chooserandomtreasurecount	
kin.askforhelp.choosewhopickstreasure	
kin.askforhelp.choosecardsoffer	
kin.askforhelp.bribeoffer	
kin.askforhelp.sharetreasure	
kin.askforhelp.givecards	
kin.askforhelp.none	
kin.askforhelp.random	
kin.askforhelp.draft	
kin.askforhelp.ntreasure	
kin.askforhelp.onetreasure	
kin.askforhelp.twotreasure	
kin.askforhelp.threetreasure	
kin.askforhelp.pickn	
kin.askforhelp.pickone	
kin.askforhelp.picktwo	
kin.askforhelp.pickthree	
kin.askforhelp.draft.you	
kin.askforhelp.draft.them	
kin.core.sellitems	
kin.core.sellitems.opponent	
kin.nocards	
kin.pile.race	
kin.pile.class	
kin.pile.carried	
kin.pile.equipped	
kin.pile.useonparticipant	
kin.pile.useonmonster	
kin.pile.enhancemonster	
kin.runaway.activateability.preroll	
kin.runaway.activateability.postroll	
kin.core.play.item.swap	
kin.core.play.class.replace	
kin.core.play.race.replace	
kin.core.play.magiclamp	
kin.core.play.wishingring	
kin.prompts.activatecurseonplayer	
kin.confirm.discard.class	
kin.confirm.discard.race	
kin.die.preroll	
kin.die.header	
kin.die.postroll	
kin.choosebadstuff.discard	
kin.choosebadstuff.losetwolevels	
kin.waitingforplayer.selectavatar	
kin.core.play.wandofdousing.pickcard	
kin.base.door.cheat.item	
kin.jumpin.door.active	
kin.jumpin.attack.active	
kin.jumpin.beginpursuit.active	
kin.jumpin.runaway.active	
kin.jumpin.postrunaway.active	
kin.jumpin.postrunaway.opponent	
kin.jumpin.postcombat.active	
kin.jumpin.precurse.active	
kin.core.play.undead	
kin.prompt.askforhelp.draft.header	
kin.askforhelp.draft.yourpick	
kin.askforhelp.draft.opponentpick	
kin.core.play.monsterenhancer.selectmonster	
kin.prompt.swapitem.message	
kin.base.door.leperchaun.discard	
kin.base.door.leperchaun.discard.opponent	
kin.runaway.choose.monster	
kin.runaway.choose.monster.opponent	
kin.setup.character.raceclass	
kin.setup.character.raceclass.opponent	
kin.setup.character.item	
kin.setup.character.item.opponent	
kin.core.play.pollymorph	
kin.core.play.killhireling	
kin.combat.askforhelp.player.helper	
kin.combat.askforhelp.player.helper.opponent	
kin.combat.askforhelp.response	
kin.combat.askforhelp.response.subheader	
kin.bribes.none	
kin.askforhelp.receivecards	
kin.thief.roll	
kin.discardpile.treasure.header	
kin.discardpile.door.header	
kin.discardpile.choose.header	
kin.combat.rewards.pre.draw	
kin.modifyroll.subheader	
kin.discardpile.view.header	
kin.badstuff.roll	
dialogmessages.aitakeover	
kin.base.door.hireling.item	
kin.base.door.hireling.item.swap	
kin.jumpin.postroll	
kin.modifyroll.header	
kin.askforhelp.draftrequest	
kin.combat.askforhelp.waiting	
prompt.charity.header	
kin.modifyroll.minimumrequired	
kin.reconcile.lastchance	
kin.reconcile.lastchance.sell	
kin.reconcile.charity.discard	
kin.reconcile.charity.discard.opponent	
kin.reconcile.charity.give	
kin.reconcile.charity.give.opponent	
kin.reconcile.charity.giveplayer	
kin.resurrection.header	
kin.core.play.race.replace.alt	
kin.core.play.class.replace.alt	
kin.jumpin.precurse.opponent	
kin.jumpin.abilities.opponent	
kin.playerturn.charity.discard.opponent	
kin.playerturn.lookorloot.opponent	
kin.base.door.cleric.resurrection.discard.opponent	
kin.combat.rewards.pre.draw.opponent	
kin.draw.play.opponent	
kin.prompt.swapclass.message	
kin.prompt.swaprace.message	
kin.core.play.stealalevel	
kin.thief.roll.loadeddie	
kin.combat.askforhelp.response.opponent	
kin.trade.item.accept.opponent	
kin.jumpin.confirm.opponent	
kin.jumpin.stack.opponent	
kin.jumpin.opponent	
kin.jumpin.door.opponent	
kin.jumpin.attack.opponent	
kin.jumpin.beginpursuit.opponent	
kin.jumpin.runaway.opponent	
kin.jumpin.postcombat.opponent	
kin.base.door.curse.incometax.select.opponent	
kin.playerturn.draw.opponent	
kin.combat.rewards.draft.pick.opponent	
kin.base.door.nettroll.steal.opponent	
kin.player.changegear.opponent	
kin.playerturn.charity.lastchance.opponent	
kin.playerturn.charity.give.opponent	
kin.playerturn.charity.giveplayer.opponent	
kin.jumpin.postroll.opponent	
kin.reconcile.lastchance.opponent	
kin.reconcile.charity.giveplayer.opponent	
kin.base.door.snailsonspeed.discard.opponent	
kin.base.door.platycore.choose.opponent	
kin.combat.askforhelp.bribe.selections.opponent	
kin.combat.askforhelp.players.opponent	
kin.combat.askforhelp.bribe.type.opponent	
kin.runawaysuccess.ability	
kin.runaway.badstuff	
kin.runawaysuccess.ability.opponent	
kin.runaway.badstuff.opponent	
kin.runaway.rolltarget	
kin.base.door.nettroll.steal	
kin.tooltip.1	
kin.tooltip.gender.male	
kin.tooltip.gender.female	
kin.tooltip.editcharacter	
kin.tooltip.genderneutral	
kin.tooltip.fastplay	
kin.tooltip.sharedvictory	
kin.tooltip.playerhud.strength	
kin.tooltip.race.human	
kin.tooltip.race.dwarf	
kin.tooltip.race.elf	
kin.tooltip.race.halfling	
kin.tooltip.class.none	
kin.tooltip.class.cleric	
kin.tooltip.class.thief	
kin.tooltip.class.warrior	
kin.tooltip.class.wizard	
kin.tooltip.slowplay	
kin.tooltip.inventory	
kin.tooltip.askforhelp	
kin.tooltip.monsterstrength	
kin.tooltip.playerstrength	
kin.tooltip.loottheroom	
kin.tooltip.lookfortrouble	
kin.tooltip.aimood.neutral	
kin.tooltip.aimood.hostile	
kin.tooltip.aimood.veryhostile	
kin.tooltip.aimood.friendly	
kin.tooltip.aimood.veryfriendly	
kin.tooltip.ability.halfling	
kin.tooltip.ability.resurrection	
kin.tooltip.ability.turning	
kin.tooltip.ability.backstabbing	
kin.tooltip.ability.theft	
kin.tooltip.ability.berserking	
kin.tooltip.ability.flight	
kin.tooltip.ability.charm	
kin.tooltip.cardsinhand	
tooltip.actionlog	
tooltip.challengeinfo	
kin.tooltip.eotjumpinwindow	
kin.tooltip.discardpiles	
tooltip.friendslist.owned	
tooltip.friendslist.unowned	
kin.tooltip.ability.hireling1	
kin.tooltip.ability.hireling2	
kin.tooltip.heldbyhireling	
kin.tooltip.playedusingcheat	
log.actionlog	Journal d’actions
log.start.game	La partie commence
log.turn.start	
log.turn.start.your	
log.kick.door.result	
log.look.for.trouble	
log.loot.room	
log.cursed.door	
log.combat.start	
log.ask.help	
log.accept.help	
log.win.combat	
log.win.combat.with.help	
log.lose.combat	
log.lose.combat.with.help	
log.discard.monster	
log.play.card.generic	
log.monster.enhancer.bonus.strength	
log.monster.enhancer.add.treasure	
log.monster.enhancer.lose.treasure	
log.play.card.carried	
log.play.card.equipped	
log.levelup	
log.lose.levels	
log.draw	
log.face.up.draw	
log.draw.doors	
log.draw.treasures	
log.shuffle.deck	
log.die.roll	
log.run.away.success	
log.run.away.fail	
log.charity.give	
log.trade.items	
log.sell.items	
log.badstuff.death.1	
log.badstuff.death.2	
log.badstuff.death.3	
log.badstuff.hippogriff.infront	
log.badstuff.hippogriff.fromhand	
log.badstuff.king.tut	
log.badstuff.wight.brothers	
log.badstuff.unspeakable.horror	
log.badstuff.insurance.salesman	
log.badstuff.bigfoot	
log.tongue.demon.kiss	
log.wannabe.vampire.oogabooga	
log.badstuff.net.troll	
log.amazon.friend	
log.badstuff.amazon.class	
log.badstuff.amazon.noclass	
log.badstuff.ghoulfiends	
log.badstuff.face.sucker.gear	
log.lawyer.thief.courtesy	
log.badstuff.lawyer	
log.badstuff.platycore.discard	
log.badstuff.platycore.lose2	
log.badstuff.pukachu	
log.badstuff.shrieking.geek	
log.badstuff.leperchaun	
log.badstuff.snails.on.speed	
log.badstuff.gelatinous.octahedron	
log.pit.bull.give.stick	
log.badstuff.crabs	
log.badstuff.drooling.slime.gear	
log.badstuff.drooling.slime.nogear	
log.curse.effect.change.class	
log.curse.effect.lose class	
log.curse.effect.change.race	
log.curse.effect.lose.race	
log.curse.effect.change.sex	
log.curse.effect.chicken.head	
log.curse.remove.chicken.head	
log.curse.effect.doom.duck	
log.curse.effect.income.tax.1	
log.curse.effect.income.tax.2	
log.curse.effect.lose.big	
log.curse.effect.lose.level	
log.curse.effect.lose.small	
log.curse.effect.lose.armor	
log.curse.effect.lose.headgear	
log.curse.effect.lose.footgear	
log.curse.effect.lose.2.cards	
log.curse.effect.malign.mirror	
log.curse.effect.obnoxious.curse	
log.cleric.resurrect.draw	
log.cleric.resurrect.discard	
log.cleric.turning	
log.thief.backstab	
log.thief.theft.success	
log.thief.theft.fail	
log.warrior.berserking	
log.wizard.flight.spell	
log.wizard.charm.spell	
log.elf.helper	
log.halfling.double.sell	
log.halfling.luck	
log.sandals.protect	
log.update.race	
log.update.class	
log.update.sex	
log.wandering.monster	
log.automatic.escape	
log.badstuff.loseitems	
log.cheat.used	
log.divine.intervention	
log.doppelganger	
log.flask.of.glue	
log.halitosis.vs.nose	
log.help.me.out.here.steal	
log.hireling.equip	
log.hireling.killed	
log.hireling.sacrifice	
log.illusion	
log.kneepads.compel	
log.loaded.die	
log.monster.enhancer.lose.strength	
log.monster.enhancer.mate	
log.one.shot.bonus.monsters	
log.one.shot.bonus.players	
log.rat.stick.discard	
log.steal.level	
log.tuba.bonus.treasure	
log.undead.pile.on	
log.wand.of.dowsing	
log.wishing.ring	
log.trade.items.one.sided	
log.discard.generic	
log.no.combat.generic	
log.help.reward.random	
log.help.reward.draft	
log.help.reward.cards	
t1.intro	
t1.goal	
t1.char.build	
t1.moz.1.mobile	
t1.moz.1.pc	
t1.play.items	
t1.play.items.2	
t1.total.strength	
t1.play.items2	
t1.end.char.creation	
t1.turn1	
t1.harpies	
t1.tie.v1	
t1.class.v1	
t1.tie.v2	
t1.end.player.combat.phase	
t1.gary.ponfusion	
t1.easy	
t1.gary.potion	
t1.jump.in	
t1.oneshot.v1	
t1.oneshot.v2	
t1.rewards	
t1.charity.warning	
t1.sell	
t1.pass	
t1.op1.chainsaw	
t1.op1.jump.in	
t1.op1.gary.annoyed	
t1.op1.retort	
t1.op1.gary.sulk	
t1.op1.end.jump.in	
t1.kick	
t1.curse	
t1.curse.2	
t1.trouble	
t1.trouble.2	
t1.gary.comment	
t1.help	
t1.help.3	
t1.offer.2	
t1.offer.3	
t1.op2.fight	
t1.op2.enrage	
t1.op2.gary.grumble	
t1.op2.gary.loss	
t1.trade	
t1.trade.2	
t1.trade.4	
t1.op3.horror	
t1.op3.death	
t1.op3.death.2	
t1.op3.tutorial.end	
t1.op3.tutorial.end2	
t1.op3.tutorial.end3	
t1.play.items3.demo	
t1.charity.warning.demo	
t1.sell.demo	
t1.pass.demo	
t1.crabs.demo	
kin.tutorial.leave	
kin.tutorial.finish	
t1.op3.tutorial.end1	
t2.set.1	
t2.set.2	
t2.turn1.1	
t2.turn1.2	
t2.turn1.3	
t2.turn1.4	
t2.turn1.5	
t2.turn1.7	
t2.turn1.8	
t2.turn1.9	
t2.turn1.enemy.1	
t2.turn1.enemy.2	
t2.turn1.enemy.3	
t2.turn1.enemy.4	
t2.turn1.enemy.5	
t2.turn1.enemy.6	
t2.turn1.enemy.7	
t2.turn1.enemy.8	
t2.turn1.triggered.1	
t2.turn1.triggered.2	
t2.turn1.triggered.3	
ftt.undead	
ftt.multi.monster	
t1.curse.3	
tutorial.prompt.complete.header	
tutorial.prompt.complete.body	
tutorial.title.tutorial01	
tutorial.description.tutorial01	
tutorial.title.tutorial02	
tutorial.description.tutorial02	
tutorial.cardanatomy.title	
tutorial.cardanatomy.geartype	
tutorial.cardanatomy.goldcost	
tutorial.cardanatomy.cardtype	
eula.acceptterms	J'accepte
eula.requestupdates	Envoyez-moi des informations
eula.title	Contrat de licence d'utilisateur final
eula.body	<b>Licence</b><br>En utilisant le jeu de Dire Wolf Digital (le « Jeu ») contenant ce logiciel, vous acceptez que cet Accord de licence d'utilisateur final (l'« Accord ») est juridiquement contraignant et valide, et que vous acceptez les conditions. Vous acceptez de vous conformer aux lois relatives à la propriété intellectuelle, et à tous les termes et conditions de cet Accord.<br><br><uppercase>VEUILLEZ LIRE CET ACCORD DE LICENCE D'UTILISATEUR FINAL ATTENTIVEMENT ET VOUS ASSURER DE BIEN COMPRENDRE TOUS LES TERMES ET CONDITIONS QUI SUIVENT AVANT D'ACCÉDER OU UTILISER LES SERVICES DU JEU.</uppercase><br><br>Votre utilisation du Jeu indique que vous acceptez cet Accord et la garantie.<br><br>Sujet aux conditions de cet Accord, Dire Wolf Digital vous octroie une licence limitée, non exclusive et non transférable, sans droit de céder des sous-licences, pour l'utilisation du Jeu dans le respect de cet Accord et tout autre Accord écrit entre vous et Dire Wolf Digital. Dire Wolf Digital ne vous transfert pas le titre du Jeu ; la licence qui vous est garantie n'est pas une vente. Cet Accord est une convention juridiquement contraignante entre Dire Wolf Digital et les acheteurs ou utilisateurs du Jeu.<br><br>Si vous refusez d'être lié par les termes de cet Accord, désinstallez immédiatement le Jeu de votre ordinateur ou tout autre appareil similaire.<br><br><b>Distribution</b><br>Le Jeu et la licence ici octroyés ne peuvent pas être copiés, partagés, distribués, revendus, proposés à la revente, transférés ou proposés en sous-licence dans sa totalité ou en partie.<br><br><b>Accord d'utilisateur</b><br>Vous devez utiliser le Jeu en conformité avec les lois applicables et non à des fins illicites. L'utilisation du Jeu signifie que vous avez chargé, installé ou lancé le Jeu sur un ordinateur ou appareil similaire.<br><br>Pour utiliser les portions de services en ligne du Jeu, vous devrez créer un compte. Vous pouvez créer un compte seulement si vous possédez la pleine capacité juridique dans votre pays de résidence, et n'avez pas été spécifiquement interdit de création d'un compte par Dire Wolf Digital. Pour les besoins de cet Accord, les services en ligne indiquent les moyens et méthodes de se connecter à d'autres joueurs pour participer à des conversations et jouer à des jeux en multijoueur.<br><br>Vous ne pouvez pas utiliser, créer, promouvoir ou distribuer des outils de triche, bots, outils de piratage ou tout autre logiciel qui exploite, change ou automatise les commandes, la façon de jouer ou toute autre fonctionnalité du Jeu.<br><br>Vous ne pouvez utiliser aucun procédé ou logiciel qui collecte ou compile des données générées ou stockées par le Jeu.<br><br>Vous ne pouvez utiliser, afficher ou distribuer le Jeu en l'associant à tout matériau pornographique, raciste, vulgaire, obscène, diffamatoire, calomnieux, abusif, qui promeut la haine, la discrimination, ou avec des préjudices basés sur la religion, l'héritage ethnique, la race, le genre, l'orientation sexuelle ou l'âge.<br><br><b>Restriction du droit de reproduction</b><br>Ce Jeu contient du matériel protégé, des secrets commerciaux, et d'autres matériaux de propriété exclusive. Vous ne pouvez pas, et ne devez pas essayer de modifier, rétroconcevoir, désassembler ou décompiler le Jeu. Vous vous engagez à ne pas créer de travaux dérivatifs ou autres travaux basés sur ou dérivés du Jeu dans son ensemble ou en partie.<br><br>Le nom de Dire Wolf Digital, le logo et les fichiers graphiques qui représentent le jeu ne peuvent être utilisés d'aucune façon pour promouvoir des produits non liés à Dire Wolf Digital. Dire Wolf Digital se réserve la propriété exclusive de tous les droits, titres et intérêts dans et au Jeu et tous les droits de propriété intellectuelle s'y rapportant.<br><br>Le droit d'auteur et les traités internationaux du droit d'auteur protègent l'ensemble des parties du Jeu, produits et services. Aucun programme, code, partie, image, extrait audio ou texte ne peut être copié ou utilisé de quelque façon par l'utilisateur autrement que comme prévu dans les limites du programme à utilisateur unique. Tous les droits non expressément accordés ici sont réservés à Dire Wolf Digital.<br><br><b>Limitation de responsabilité</b><br>Vous acceptez d'indemniser, protéger et défendre Dire Wolf Digital, ses employés, agents et distributeurs contre les réclamations, procédures, demandes et coûts résultant de ou connectés à votre utilisation du logiciel de Dire Wolf Digital.<br><br>Sous aucune circonstance (incluant, mais non limité à un cas de négligence) Dire Wolf Digital, ses employés, agents ou distributeurs ne peuvent être tenus responsables de dommages indirects, accessoires, incidentaux, spéciaux ou punitifs (incluant, mais non limité aux dommages en cas de perte de profits, d'utilisation, d'interruption des activités, perte de données ou d'informations, ou perte pécuniaire), en lien avec, découlant ou en rapport avec cet Accord, le Jeu ou son utilisation, ou l'incapacité d'utiliser le Jeu ou la fourniture, la performance ou l'utilisation de tout autre question ci-mentionnée fondée sur le contrat, délit ou sur toute autre théorie incluant la négligence.<br><br><b>Garanties</b><br>À l'exception des points expressément rédigés, Dire Wolf Digital n'accorde aucune représentation ni garantie quant à ce logiciel et exclut expressément toutes autres garanties, explicites ou implicites, orales ou écrites, incluant mais non limité aux garanties implicites, la qualité marchande ou la conformité à des fins particulières.<br><br><b>Loi applicable</b><br>Le présent contrat est régi et interprété conformément aux lois de l'État du Colorado, sans égard aux principes relatifs aux conflits de droit. Tout litige né de l'application des présentes conditions sera soumis exclusivement à un tribunal d'État ou un tribunal fédéral compétent qui siège dans la ville et le comté de Denver, Colorado, et vous reconnaissez inconditionnellement et irrévocablement la compétence non exclusive de ces tribunaux. Si une disposition de l'Accord est considérée comme invalide, nulle ou inexécutable, alors la disposition sera considérée séparable de cet Accord et n'affectera pas la validité et l'exécution de toute autre disposition.<br><br><b>Terminaison</b><br>Le non-respect des termes et conditions de cet Accord résultera en une terminaison automatique et immédiate de cette licence. Après la terminaison de cette licence pour toute raison, vous vous engagez à mettre immédiatement fin à votre utilisation du Jeu et à détruire toutes les copies du Jeu procurées dans le cadre de cet Accord. Les obligations financières que vous avez contractées survivront à l'expiration ou la terminaison de cette licence.<br><br><b>Clause de non-responsabilité</b><br>CE LOGICIEL ET LES FICHIERS QUI L'ACCOMPAGNENT SONT FOURNIS ET/OU VENDUS « EN L'ÉTAT » SANS AUCUNE GARANTIE DE QUELQUE NATURE QUE CE SOIT, EXPRESSE OU IMPLICITE (INCLUANT, MAIS NON LIMITÉ À TOUTES GARANTIES IMPLICITES DE PERFORMANCE, DE COMMERCIALITÉ ET D'ADAPTATION À UNE FIN PARTICULIÈRE), ET TOUTES LES AUTRES GARANTIES SONT EXPRESSÉMENT REJETÉES. CETTE DÉCLARATION INCLUT ÉGALEMENT TOUS LES FICHIERS GÉNÉRÉS ET ÉDITÉS PAR LE JEU.
ai.avatar.floatingnose	Nosy Ned
ai.avatar.wightbrothers	The Brothers Wight
ai.avatar.plutoniumdragon	Dr. Dragon
ai.avatar.bullrog	Fred
ai.avatar.pottedplant	Peaty Potter
ai.avatar.theshadow	The Shadow
ai.avatar.fredflametoe	Terry Flametoe
ai.avatar.largeangrychicken	Mr. Chicken
ai.avatar.mrbones	Ben Bonesly
ai.avatar.tonguedemon	Lana Longton
ai.avatar.nettroll	Ted Trollbooth
ai.avatar.carolcatsuit	Carol Catsuit
ai.avatar.slimysal	Slimy Sal
ai.avatar.harriethippietin	Harriet Hippietin
ai.avatar.sallyswording	Sally Butterknife
ai.avatar.earlyuppiedink	Earl Yuppiedink
ai.avatar.debbieaxerow	Debbie Axerow
ai.avatar.courageouscarl	Courageous Carl
ai.avatar.insurancesalesman	Sal from Sales
ai.avatar.stonedgolem	Rocky
ai.avatar.wannabeevampire	Count Wannabee
ai.avatar.pierrearrlington	Pierre Arrlington
ai.avatar.ghouliaghostly	Ghoulia Ghostly
ai.avatar.randyrulefinder	Randy Rulefinder
ai.avatar.ottoorcington	Otto Orcington
ai.avatar.mwelbybalding	Welby Balding
ai.avatar.pandolfpocus	Pandolf Pocus
ai.avatar.maulrat	Maulery Ratstuff
ai.avatar.breehornshield	Brie Hornshield
ai.avatar.sueshorterly	Sue Shorterly
ai.avatar.morwengreenfoot	Morwen Greenfoot
kin.challenge.trackmeet.name	
kin.challenge.trackmeet.normal.description	
kin.challenge.trackmeet.heroic.description	
kin.challenge.superduper.name	
kin.challenge.superduper.normal.description	
