#_	_
button.back	Zurück
eula.body	<b>Lizenz</b><br>Durch die Nutzung dieses Spiels (das „Spiel“) von Dire Wolf Digital, das diese Software enthält, erklärst du dich damit einverstanden, dass dieser Endbenutzer-Lizenzvertrag („Vertrag“) ein rechtsverbindlicher und gültiger Vertrag ist, und du erklärst dich damit einverstanden, an diesen gebunden zu sein. Du stimmst zu, die Gesetze zum Schutz des geistigen Eigentums und alle Geschäftsbedingungen dieses Vertrags einzuhalten.<br><br><uppercase>BITTE LIES DIESEN ENDBENUTZER-LIZENZVERTRAG SORGFÄLTIG DURCH UND VERSICHERE DICH, DASS DU ALLE FOLGENDEN GESCHÄFTSBEDINGUNGEN VERSTEHT, BEVOR DU AUF DIE SPIELDIENSTE ZUGREIFST ODER SIE BENUTZT.</uppercase><br><br>Deine Nutzung des Spiels bedeutet, dass du diesen Vertrag und die Garantie akzeptierst.<br><br>Vorbehaltlich der Bestimmungen dieses Vertrags gewährt dir Dire Wolf Digital eine beschränkte, nicht ausschließliche, nicht übertragbare Lizenz ohne Unterlizenzrecht, um das Spiel in Übereinstimmung mit diesem Vertrag und jedem anderen schriftlichen Vertrag mit Dire Wolf Digital zu verwenden. Dire Wolf Digital überträgt dir nicht den Titel des Spiels. Die dir gewährte Lizenz ist kein Verkauf. Dieser Vertrag ist ein verbindlicher rechtlicher Vertrag zwischen Dire Wolf Digital und den Käufern oder Nutzern des Spiels.<br><br>Wenn du diesem Vertrag nicht zustimmst, entferne das Spiel jetzt von deinem Computer oder einem ähnlichen Gerät.<br><br><b>Verteilung</b><br>Das Spiel und die hierin gewährte Lizenz dürfen weder ganz noch teilweise kopiert, geteilt, verteilt, weiterverkauft, zum Weiterverkauf angeboten, übertragen oder weder in seiner Gesamtheit noch in Teilen unterlizenziert werden.<br><br><b>Nutzungsvereinbarung</b><br>Du darfst das Spiel in Übereinstimmung mit allen geltenden Gesetzen und nicht für rechtswidrige Zwecke verwenden. Die Verwendung des Spiels bedeutet, dass du das Spiel auf einem Computer oder einem ähnlichen Gerät geladen, installiert oder ausgeführt hast.<br><br>Um den Onlinedienst-Bereich des Spiels zu nutzen, musst du ein Konto erstellen. Du darfst nur dann ein Konto erstellen, wenn du in deinem Wohnsitzland über die volle Rechtsfähigkeit verfügst und dir die Einrichtung eines Kontos durch Dire Wolf Digital nicht ausdrücklich untersagt wurde. Für die Zwecke dieses Vertrags bedeuten Onlinedienste die Mittel und Methoden für die Verbindung mit anderen Spielern, um mit ihnen zu chatten und Mehrspieler-Spiele zu spielen.<br><br>Du darfst keine Cheats, Bots, Hacks oder Software verwenden, erstellen, bewerben oder verbreiten, die die Steuerung, die Spielmechanik oder andere Funktionen des Spiels ausnutzen, ändern oder automatisieren.<br><br>Du darfst keine Prozesse oder Software verwenden, die vom Spiel erzeugte oder gespeicherte Daten sammeln oder zusammenstellen.<br><br>Du darfst das Spiel nicht zusammen mit Material verwenden, anzeigen oder verbreiten, das pornografisch, rassistisch, vulgär, obszön, diffamierend, verleumderisch, beleidigend, missbräuchlich, Hass fördernd oder diskriminierend ist oder Vorurteile auf Grund von Religion, ethnischer Herkunft, Rasse, Geschlecht, sexueller Orientierung oder Alter zeigt.<br><br><b>Urheberrechts-Einschränkung</b><br>Dieses Spiel enthält urheberrechtlich geschütztes Material, Geschäftsgeheimnisse und anderes geschütztes Material. Du darfst das Spiel nicht modifizieren, rekonstruieren, zerlegen oder dekompilieren und dies auch nicht versuchen. Du darfst keine abgeleiteten Werke oder andere Werke erstellen, die ganz oder teilweise auf dem Spiel basieren oder davon abgeleitet sind.<br><br>Der Name, das Logo und die Grafikdatei von Dire Wolf Digital, die das Spiel darstellen, dürfen in keiner Weise zur Bewerbung von Produkten verwendet werden, die nicht von Dire Wolf Digital stammen. Dire Wolf Digital behält sich das alleinige und ausschließliche Eigentum an allen Rechten, Titeln und Beteiligungen an dem Spiel und allen damit verbundenen Rechten an geistigem Eigentum vor.<br><br>Das Urheberrecht und die Bestimmungen internationaler Urheberrechtsverträge schützen alle Teile des Spiels, der Produkte und Dienstleistungen. Kein Programm, Code, Teil, Bild, Audiobeispiel oder Text darf vom Benutzer in irgendeiner Weise kopiert oder verwendet werden, es sei denn, dies ist im Rahmen des Einzelbenutzerprogramms beabsichtigt. Alle hier nicht ausdrücklich gewährten Rechte sind Dire Wolf Digital vorbehalten.<br><br><b>Haftungsbeschränkungen</b><br>Du wirst Dire Wolf Digital, seine Mitarbeiter, Vertreter und Vertriebshändler von jeglichen Ansprüchen, Verfahren, Forderungen und Kosten freistellen und schadlos halten, die sich aus oder in irgendeiner Weise im Zusammenhang mit deiner Nutzung der Software von Dire Wolf Digital ergeben.<br><br>In keinem Fall (einschließlich und ohne Einschränkung bei Fahrlässigkeit) haften Dire Wolf Digital, seine Mitarbeiter, Vertreter oder Vertriebshändler für Folgeschäden, zufällige, indirekte, besondere oder strafbare Schäden (einschließlich und ohne Einschränkung für Schäden durch Verlust von Gewinnen, Nutzungsausfall, Betriebsunterbrechung, Verlust von Informationen oder Daten oder Vermögensverlust) im Zusammenhang mit diesem Vertrag, Spiel, der Spielnutzung oder der Unfähigkeit, das Spiel oder die Einrichtung zu nutzen, der Leistung oder Nutzung jeglicher sonstiger Angelegenheiten, oder daraus hervorgegangen oder damit verbunden, egal ob aufgrund dieses Vertrags, aus unerlaubter Handlung oder einer anderen Theorie, einschließlich Fahrlässigkeit.<br><br><b>Garantien</b><br>Sofern nicht ausdrücklich schriftlich festgelegt, gibt Dire Wolf Digital keine Zusicherungen oder Garantien in Bezug auf diese Software ab und schließt ausdrücklich alle anderen ausdrücklichen oder indirekten mündlichen oder schriftlichen Garantien aus, einschließlich, ohne Einschränkung, indirekter Garantien von handelsüblicher Qualität oder Eignung für einen besonderen Zweck.<br><br><b>Geltendes Recht</b><br>Dieser Vertrag unterliegt den Gesetzen des US-Bundesstaates Colorado und wird in Übereinstimmung mit diesen ausgelegt, ohne Rücksicht auf die Grundsätze des Kollisionsrechts. Alle Streitigkeiten, die sich aus dieser EULA ergeben, werden ausschließlich vor einem Bundes- oder Landesgericht in der Stadt und im Landkreis Denver, Colorado, verhandelt, und du stimmst hiermit der nicht ausschließlichen Zuständigkeit solcher Gerichte unwiderruflich zu. Wenn eine Bestimmung dieses Vertrags als rechtswidrig, nichtig oder anderweitig nicht durchsetzbar angesehen wird, wird diese Bestimmung als von dieser Lizenz separat angesehen und berührt nicht die Gültigkeit und Durchsetzbarkeit anderer Bestimmungen.<br><br><b>Kündigung</b><br>Jeder Verstoß gegen die Bestimmungen dieses Vertrags führt zur automatischen und sofortigen Kündigung dieser Lizenz. Bei Kündigung dieser Lizenz aus irgendeinem Grund stimmst du zu, die Nutzung des Spiels sofort einzustellen und alle Kopien des Spiels zu vernichten, die im Rahmen dieser Vereinbarung bereitgestellt werden. Die finanziellen Verpflichtungen, die dir entstehen, bleiben auch nach Ablauf oder Kündigung dieser Lizenz bestehen.<br><br><b>Haftungsausschluss der Garantie</b><br>DIESE SOFTWARE UND DIE BEGLEITENDEN DATEIEN WERDEN "WIE GESEHEN" UND / ODER OHNE JEGLICHE AUSDRÜCKLICHE ODER STILLSCHWEIGENDE GARANTIE (EINSCHLIESSLICH, OHNE EINSCHRÄNKUNG, JEGLICHE STILLSCHWEIGENDE GARANTIE DER LEISTUNG, HANDELSMÄSSIGKEIT ODER EIGNUNG FÜR EINEN BESONDEREN ZWECK) ZU VERFÜGUNG GESTELLT, UND ALLE SOLCHE GARANTIEN WERDEN HIERBEI VON DER HAFTUNG AUSGESCHLOSSEN. DIESER HAFTUNGSAUSSCHLUSS BETRIFFT AUCH ALLE DATEIEN, DIE VOM SPIEL GENERIERT UND BEARBEITET WERDEN.
ai.avatar.floatingnose	Nosy Ned
ai.avatar.wightbrothers	The Brothers Wight
ai.avatar.plutoniumdragon	Dr. Dragon
ai.avatar.bullrog	Fred
ai.avatar.pottedplant	Peaty Potter
ai.avatar.theshadow	The Shadow
ai.avatar.fredflametoe	Terry Flametoe
ai.avatar.largeangrychicken	Mr. Chicken
ai.avatar.mrbones	Ben Bonesly
ai.avatar.tonguedemon	Lana Longton
ai.avatar.nettroll	Ted Trollbooth
ai.avatar.carolcatsuit	Carol Catsuit
ai.avatar.slimysal	Slimy Sal
ai.avatar.harriethippietin	Harriet Hippietin
ai.avatar.sallyswording	Sally Butterknife
ai.avatar.earlyuppiedink	Earl Yuppiedink
ai.avatar.debbieaxerow	Debbie Axerow
ai.avatar.courageouscarl	Courageous Carl
ai.avatar.insurancesalesman	Sal from Sales
ai.avatar.stonedgolem	Rocky
ai.avatar.wannabeevampire	Count Wannabee
ai.avatar.pierrearrlington	Pierre Arrlington
ai.avatar.ghouliaghostly	Ghoulia Ghostly
ai.avatar.randyrulefinder	Randy Rulefinder
ai.avatar.ottoorcington	Otto Orcington
ai.avatar.mwelbybalding	Welby Balding
ai.avatar.pandolfpocus	Pandolf Pocus
ai.avatar.maulrat	Maulery Ratstuff
ai.avatar.breehornshield	Brie Hornshield
ai.avatar.sueshorterly	Sue Shorterly
ai.avatar.morwengreenfoot	Morwen Greenfoot
kin.challenge.trackmeet.name	
kin.challenge.trackmeet.normal.description	
kin.challenge.trackmeet.heroic.description	
kin.challenge.superduper.name	
kin.challenge.superduper.normal.description	
kin.challenge.superduper.heroic.description	
kin.challenge.rulesofattraction.name	
kin.challenge.rulesofattraction.normal.description	
kin.challenge.rulesofattraction.heroic.description	
kin.challenge.babyland.name	
kin.challenge.babyland.normal.description	
kin.challenge.babyland.heroic.description	
kin.challenge.veryhelpful.name	
kin.challenge.veryhelpful.normal.description	
kin.challenge.veryhelpful.heroic.description	
kin.challenge.dicechucker.name	
kin.challenge.dicechucker.normal.description	
kin.challenge.dicechucker.heroic.description	
kin.challenge.neveradullmoment.name	
kin.challenge.neveradullmoment.normal.description	
kin.challenge.neveradullmoment.heroic.description	
kin.challenge.charactersheetconfusion.name	
kin.challenge.charactersheetconfusion.normal.description	
kin.challenge.charactersheetconfusion.heroic.description	
kin.challenge.merchantofmenace.name	
kin.challenge.merchantofmenace.normal.description	
kin.challenge.merchantofmenace.heroic.description	
kin.challenge.loner.name	
kin.challenge.loner.normal.description	
kin.challenge.loner.heroic.description	
kin.challenge.doubletrouble.name	
kin.challenge.doubletrouble.normal.description	
kin.challenge.doubletrouble.heroic.description	
kin.challenge.pantslessjuggler.name	
kin.challenge.pantslessjuggler.normal.description	
kin.challenge.pantslessjuggler.heroic.description	
kin.challenge.curses.name	
kin.challenge.curses.normal.description	
kin.challenge.curses.heroic.description	
marketing.1	
marketing.2	
marketing.3	
marketing.4	
marketing.5	
marketing.6	
marketing.7	
marketing.8	
marketing.9	
marketing.10	
marketing.11	
marketing.12	
marketing.13	
marketing.14	
