#_	_
button.back	Wstecz
eula.body	<b>Licencja</b><br>Korzystając z tej gry firmy Dire Wolf Digital („Gra”) zawierającej to oprogramowanie, zgadzasz się, że niniejsza Umowa licencyjna użytkownika końcowego („Umowa”) jest prawnie wiążącą i ważną umową, a także zgadzasz się na jej przestrzeganie. Zgadzasz się przestrzegać praw własności intelektualnej i wszystkich warunków niniejszej Umowy.<br><br><uppercase>PRZED ROZPOCZĘCIEM KORZYSTANIA Z GRY LUB JEJ USŁUG UWAŻNIE PRZECZYTAJ NINIEJSZĄ UMOWĘ LICENCYJNĄ UŻYTKOWNIKA KOŃCOWEGO I UPEWNIJ SIĘ, ŻE ROZUMIESZ WSZYSTKIE JEJ POSTANOWIENIA</uppercase><br><br>Korzystanie z Gry oznacza akceptację niniejszej Umowy oraz gwarancji.<br><br>Z zastrzeżeniem warunków niniejszej Umowy firma Dire Wolf Digital udziela ci ograniczonej, niewyłącznej, nieprzenoszalnej licencji – bez prawa do sublicencjonowania – na korzystanie z Gry zgodnie z niniejszą Umową i każdą inną twoją umową pisemną z Dire Wolf Digital. Dire Wolf Digital nie przenosi na ciebie tytułu własności Gry. Udzielona ci licencja nie jest umową sprzedaży. Niniejsza Umowa jest wiążącą umową prawną między Dire Wolf Digital a nabywcami i użytkownikami Gry.<br><br>Jeśli nie zgadzasz się na przestrzeganie niniejszej Umowy, usuń tę Grę ze swojego komputera czy podobnego urządzenia.<br><br><b>Dystrybucja</b><br>Gra i udzielona wraz z nią licencja nie mogą być kopiowane, udostępniane, rozpowszechniane, odsprzedawane, oferowane do odsprzedaży, przenoszone ani sublicencjonowane w całości ani w części.<br><br><b>Umowa użytkownika</b><br>Możesz korzystać z Gry tylko zgodnie ze wszystkimi obowiązującymi przepisami. Nie możesz jej wykorzystywać do żadnego niezgodnego z prawem celu. Korzystanie z Gry oznacza załadowanie, zainstalowanie lub uruchomienie Gry na komputerze lub podobnym urządzeniu.<br><br>Aby korzystać z usług online w grze, musisz utworzyć konto. Możesz założyć konto tylko wtedy, gdy posiadasz pełną zdolność do czynności prawnych w swoim kraju zamieszkania i nie masz wyraźnego zakazu tworzenia konta od firmy Dire Wolf Digital. Na potrzeby niniejszej Umowy usługi online oznaczają środki i metody łączenia się z innymi graczami w celu prowadzenia rozmów i grania w gry wieloosobowe.<br><br>Nie możesz używać, tworzyć, promować ani rozpowszechniać oszustw, botów, haków ani żadnego oprogramowania, które wykorzystuje luki czy zmienia lub automatyzuje sterowanie, rozgrywkę czy jakikolwiek inny element Gry.<br><br>Nie możesz używać żadnego procesu ani oprogramowania, które zbiera czy zestawia dane generowane lub przechowywane przez Grę.<br><br>Nie będziesz używać Gry do wyświetlania ani rozpowszechniania materiałów pornograficznych, rasistowskich, wulgarnych, obscenicznych, zniesławiających, obelżywych, obraźliwych, promujących nienawiść, dyskryminację czy uprzedzenia ze względu na religię, pochodzenie etniczne, rasę, płeć, seksualność orientację czy wiek.<br><br><b>Ograniczenie praw autorskich</b><br>Ta Gra zawiera materiały chronione prawem autorskim i innymi prawami własności oraz tajemnice handlowe. Nie możesz podejmować żadnych prób modyfikowania, odtwarzania kodu źródłowego, dezasemblowania ani dekompilowania Gry. Nie możesz tworzyć żadnych dzieł pochodnych ani innych dzieł opartych na Grze lub z niej wywodzących się w całości lub w części.<br><br>Nazwa i logo Dire Wolf Digital oraz plik graficzny gry nie mogą być w żaden sposób wykorzystywane do promowania produktów innych niż firmy Dire Wolf Digital. Dire Wolf Digital zachowuje wyłączną własność wszystkich praw, tytułów i udziałów związanych z Grą i wszystkimi prawami własności intelektualnej z nią związanych.<br><br>Prawo autorskie i międzynarodowe traktaty dotyczące praw autorskich chronią wszystkie części Gry oraz jej produktów i usług. Żaden program, kod, część, obraz, próbka dźwiękowa ani tekst nie mogą być kopiowane ani używane w jakikolwiek sposób przez użytkownika z wyjątkiem przypadków przewidzianych w ramach programu jednego użytkownika. Wszelkie prawa, które nie zostały wyraźnie przyznane na mocy niniejszej Umowy, są zastrzeżone dla Dire Wolf Digital.<br><br><b>Ograniczenie odpowiedzialności</b><br>Musisz zabezpieczać, chronić i bronić Dire Wolf Digital, jego pracowników, agentów i dystrybutorów przed wszelkimi roszczeniami, postępowaniami, żądaniami i kosztami wynikającymi z korzystania lub w jakikolwiek sposób związanymi z korzystaniem z oprogramowania Dire Wolf Digital.<br><br>W żadnym wypadku (w tym w przypadku zaniedbania) Dire Wolf Digital, jego pracownicy, agenci ani dystrybutorzy nie będą odpowiedzialni za jakiekolwiek szkody następcze, przypadkowe, pośrednie, specjalne czy karne (w tym odszkodowania za utratę zysków, utratę możliwości korzystania, przerwanie działalności, utratę informacji lub danych oraz stratę pieniężną) w związku z niniejszą Umową, Grą, jej używaniem czy niemożnością jej używania ani też w związku z dostarczaniem, wykonywaniem czy używaniem jakichkolwiek innych elementów objętych niniejszą Umową – czy to na podstawie umowy, deliktu czy jakiejkolwiek innej teorii, w tym teorii zaniedbania.<br><br><b>Gwarancje</b><br>Z wyjątkiem przypadków wyraźnie określonych na piśmie Dire Wolf Digital nie składa żadnych oświadczeń ani gwarancji w odniesieniu do tego oprogramowania i wyraźnie wyklucza wszelkie inne gwarancje, wyrażone lub dorozumiane ustne lub pisemne, w tym wszelkie dorozumiane gwarancje jakości handlowej lub przydatności do konkretnego celu.<br><br><b>Prawo właściwe</b><br>Niniejsza Umowa podlega i będzie interpretowana zgodnie z prawem stanu Kolorado – bez uwzględniania prawa prywatnego międzynarodowego. Wszelkie spory wynikające z niniejszej Umowy będą rozpatrywane wyłącznie przez sądy federalne lub stanowe w mieście i hrabstwie Denver w stanie Kolorado, a użytkownik niniejszym nieodwołalnie zgadza się na niewyłączną jurysdykcję takich sądów. Jeśli którekolwiek postanowienie niniejszej Umowy zostanie uznane za niezgodne z prawem, nieważne lub w jakikolwiek sposób niewykonalne, to postanowienie to zostanie uznane za oddzielne od niniejszej Umowy i nie będzie miało wpływu na ważność i wykonalność jakichkolwiek innych postanowień.<br><br><b>Zerwanie umowy</b><br>Każde nieprzestrzeganie warunków i postanowień niniejszej Umowy spowoduje automatyczne i natychmiastowe zerwanie niniejszej Umowy. Po zerwaniu Umowy z jakiegokolwiek powodu musisz natychmiast zaprzestać korzystania z Gry i zniszczyć wszystkie kopie Gry dostarczone w ramach niniejszej Umowy. Wszelkie twoje zobowiązania finansowe zachowują ważność po wygaśnięciu czy zerwaniu niniejszej Umowy.<br><br><b>Wyłączenie gwarancji</b><br><uppercase>NINIEJSZE OPROGRAMOWANIE I TOWARZYSZĄCE MU PLIKI SĄ SPRZEDAWANE I DOSTARCZANE „TAKIE, JAKIE SĄ” I BEZ JAKICHKOLWIEK GWARANCJI, WYRAŹNYCH LUB DOROZUMIANYCH (W TYM WSZELKIEJ DOROZUMIANEJ GWARANCJI JAKOŚCI, PRZYDATNOŚCI HANDLOWEJ LUB PRZYDATNOŚCI W KONKRETNYM CELU) I WSZELKIE TAKIE GWARANCJE SĄ NINIEJSZYM WYŁĄCZONE. NINIEJSZE WYŁĄCZENIE ODPOWIEDZIALNOŚCI DOTYCZY WSZYSTKICH PLIKÓW GENEROWANYCH I EDYTOWANYCH PRZEZ GRĘ.</uppercase><br><br>
ai.avatar.floatingnose	Nosy Ned
ai.avatar.wightbrothers	The Brothers Wight
ai.avatar.plutoniumdragon	Dr. Dragon
ai.avatar.bullrog	Fred
ai.avatar.pottedplant	Peaty Potter
ai.avatar.theshadow	The Shadow
ai.avatar.fredflametoe	Terry Flametoe
ai.avatar.largeangrychicken	Mr. Chicken
ai.avatar.mrbones	Ben Bonesly
ai.avatar.tonguedemon	Lana Longton
ai.avatar.nettroll	Ted Trollbooth
ai.avatar.carolcatsuit	Carol Catsuit
ai.avatar.slimysal	Slimy Sal
ai.avatar.harriethippietin	Harriet Hippietin
ai.avatar.sallyswording	Sally Butterknife
ai.avatar.earlyuppiedink	Earl Yuppiedink
ai.avatar.debbieaxerow	Debbie Axerow
ai.avatar.courageouscarl	Courageous Carl
ai.avatar.insurancesalesman	Sal from Sales
ai.avatar.stonedgolem	Rocky
ai.avatar.wannabeevampire	Count Wannabee
ai.avatar.pierrearrlington	Pierre Arrlington
ai.avatar.ghouliaghostly	Ghoulia Ghostly
ai.avatar.randyrulefinder	Randy Rulefinder
ai.avatar.ottoorcington	Otto Orcington
ai.avatar.mwelbybalding	Welby Balding
ai.avatar.pandolfpocus	Pandolf Pocus
ai.avatar.maulrat	Maulery Ratstuff
ai.avatar.breehornshield	Brie Hornshield
ai.avatar.sueshorterly	Sue Shorterly
ai.avatar.morwengreenfoot	Morwen Greenfoot
kin.challenge.trackmeet.name	
kin.challenge.trackmeet.normal.description	
kin.challenge.trackmeet.heroic.description	
kin.challenge.superduper.name	
kin.challenge.superduper.normal.description	
kin.challenge.superduper.heroic.description	
kin.challenge.rulesofattraction.name	
kin.challenge.rulesofattraction.normal.description	
kin.challenge.rulesofattraction.heroic.description	
kin.challenge.babyland.name	
kin.challenge.babyland.normal.description	
kin.challenge.babyland.heroic.description	
kin.challenge.veryhelpful.name	
kin.challenge.veryhelpful.normal.description	
kin.challenge.veryhelpful.heroic.description	
kin.challenge.dicechucker.name	
kin.challenge.dicechucker.normal.description	
kin.challenge.dicechucker.heroic.description	
kin.challenge.neveradullmoment.name	
kin.challenge.neveradullmoment.normal.description	
kin.challenge.neveradullmoment.heroic.description	
kin.challenge.charactersheetconfusion.name	
kin.challenge.charactersheetconfusion.normal.description	
kin.challenge.charactersheetconfusion.heroic.description	
kin.challenge.merchantofmenace.name	
kin.challenge.merchantofmenace.normal.description	
kin.challenge.merchantofmenace.heroic.description	
kin.challenge.loner.name	
kin.challenge.loner.normal.description	
kin.challenge.loner.heroic.description	
kin.challenge.doubletrouble.name	
kin.challenge.doubletrouble.normal.description	
kin.challenge.doubletrouble.heroic.description	
kin.challenge.pantslessjuggler.name	
kin.challenge.pantslessjuggler.normal.description	
kin.challenge.pantslessjuggler.heroic.description	
kin.challenge.curses.name	
kin.challenge.curses.normal.description	
kin.challenge.curses.heroic.description	
marketing.1	
marketing.2	
marketing.3	
marketing.4	
marketing.5	
marketing.6	
marketing.7	
marketing.8	
marketing.9	
marketing.10	
marketing.11	
marketing.12	
marketing.13	
marketing.14	
