#_	_
button.back	Atrás
base.treasure.6677b88d-6f08-49e9-adc0-5125f4549f41.text	¡Bueno, es mejor que nada! Puedes descartarte de este objeto, incluso si sólo lo llevas encima, para Huir automáticamente de cualquier monstruo de Nivel 8 o inferior.
base.treasure.7bc68e56-6b74-4c4e-80f1-d76e7456759b.text	Las cartas de Maldición que saques cuando abras una puerta no tienen efecto. Las Maldiciones que te lancen los demás jugadores siguen funcionando normalmente.
base.treasure.8ca5bc1d-d31a-404f-8a2c-08d684acb661.text	Usar durante cualquier combate. +2 a cualquier bando. Sólo puede usarse una vez.
base.treasure.93c7eb95-8657-4ae8-bdb7-21ab2029cbd0.text	Usar durante cualquier combate. Cualquier otro jugador (a tu elección) tiene que luchar contra el monstruo (o monstruos), aunque puede pedir ayuda normalmente, y conseguir el tesoro y los niveles si gana. Entonces, el jugador original continúa con su turno, y puede saquear la habitación se haya ganado o no el combate. Sólo puede usarse una vez.
base.treasure.d6b481cd-18fc-4de3-a5e3-95f0858bf832.text	Este melodioso instrumento cautiva a tus enemigos, proporcionándote un +3 a Huir. Si escapas con éxito del combate, llévate un Tesoro boca abajo a la salida.
base.treasure.c337a23b-3fa8-4295-96b7-e3706cdba824.text	Busca cualquier carta en los mazos de descartes. Coge esa carta y descarta ésta.
base.treasure.bd195b65-4e6a-4674-aa26-b6562b50a7d2.text	Anula cualquier Maldición. Juega esta carta en cualquier momento. Sólo puede usarse una vez.
base.treasure.bb8ffb65-35e4-4dcf-9860-af3bd016953b.text	Usar durante cualquier combate. Sólo puede usarse una vez, y sólo para ayudar a los Elfos. +2 a cada Elfo involucrado en el combate.
base.treasure.f233b5ea-f811-4ea6-b518-cda41543639a.text	Te permite llevar y usar un objeto adicional, incluso si las reglas no te dejan hacerlo. Si pierdes a tu Escudero Fiel, el objeto también se pierde. Puedes descartar tu escudero fiel para escapar automáticamente de cualquier monstruo. Coloca esta carta frente a ti en la mesa, junto a tus tesoros.
base.treasure.a685c4ed-40a4-4cd8-a640-02aa65d2c768.text	Saca 3 cartas de tesoro adicionales inmediatamente. Róbalas boca abajo si sacaste esta carta boca abajo; en otro caso, róbalas boca arriba.
base.treasure.d45aaf27-559f-488f-a477-d6858bb56fad.text	Elige un jugador al que robarle un Nivel. Tú subes un Nivel. Él baja un Nivel.
kin.item.requirements.class.cleric	Sólo puede ser usada por Clérigos
kin.item.requirements.class.thief	Sólo puede ser usada por Ladrones
kin.item.requirements.class.warrior	Sólo puede ser usado por Guerreros
kin.item.requirements.class.wizard	Sólo puede ser usado por Magos
kin.item.requirements.race.human	Sólo puede ser usada por Humanos
kin.item.requirements.race.dwarf	Sólo puede ser usada por Enanos
kin.item.requirements.race.elf	Sólo puede ser usado por Elfos
kin.item.requirements.race.halfling	Sólo puede ser usada por Medianos
kin.item.requirements.gender.male	Sólo puede ser usada por Jugadores Masculinos (y mujeres que hayan cambiado de sexo).
kin.item.requirements.gender.female	Sólo puede ser usada por Jugadoras Femeninas (y hombres que hayan cambiado de sexo).
kin.item.requirements.notclass.cleric	No pueden ser usadas por Clérigos
kin.item.requirements.notclass.thief	No puede ser usada por Ladrones
kin.item.requirements.notclass.warrior	No pueden ser usados por Guerreros
kin.item.requirements.notclass.wizard	No puede ser usada por Magos
kin.item.requirements.notrace.human	
kin.item.requirements.notrace.dwarf	
kin.item.requirements.notrace.elf	
kin.item.requirements.notrace.halfling	
rules.askingforhelp.1	
rules.askingforhelp.2	
rules.askingforhelp.3	
rules.askingforhelp.4	
rules.characterstats.1	
rules.characterstats.2	
rules.characterstats.3	
rules.characterstats.4	
rules.death.1	
rules.death.2	
rules.monsters.1	
rules.monsters.2	
rules.monsters.3	
rules.monsters.4	
rules.monsters.5	
rules.monsters.6	
rules.monsters.7	
rules.monsters.8	
rules.overview.1	
rules.overview.2	
rules.overview.3	
rules.overview.4	
rules.overview.5	
rules.overview.6	
rules.overview.7	
rules.overview.8	
rules.overview.9	
rules.overview.10	
rules.overview.11	
rules.overview.12	
rules.overview.13	
rules.treasures.1	
rules.treasures.2	
rules.treasures.3	
rules.treasures.4	
rules.treasures.5	
rules.treasures.6	
rules.treasures.7	
rules.treasures.8	
rules.variants.1	
rules.variants.2	
rules.variants.3	
rules.variants.4	
rules.variants.7	
rules.variants.8	
rules.combatoverview.1	
rules.combatoverview.2	
rules.combatoverview.3	
rules.combatoverview.4	
rules.curses.1	
rules.curses.2	
kin.setup.character.raceandclass	
kin.setup.character.raceandclass.opponent	
kin.setup.character.items	
kin.setup.character.items.opponent	
kin.setup.character.opponent	
kin.jumpin	
kin.jumpin.door	
kin.jumpin.attack	
kin.jumpin.beginpursuit	
kin.jumpin.endofturn	
kin.jumpin.endofturn.opponent	
kin.jumpin.runaway	
kin.jumpin.postrunaway	
kin.jumpin.postcombat	
kin.jumpin.precurse	
kin.jumpin.abilities	
kin.playerturn.begin	
kin.playerturn.begin.opponent	
kin.playerturn.lookfortrouble	
kin.playerturn.draw	
kin.playerturn.lookorloot	
kin.playerturn.end	
kin.playerturn.end.opponent	
kin.core.play.class	
kin.core.play.curse	
kin.core.play.item	
kin.core.play.race	
kin.core.play.special	
kin.core.play.monsterenhancer	
kin.core.play.combatoneshot	
kin.playerturn.charity.lastchance	
kin.playerturn.charity.discard	
kin.playerturn.charity.give	
kin.playerturn.charity.giveplayer	
kin.draw.play	
match.actions.opendoor	
match.actions.jumpin	
kin.combat.begin	
kin.combat.begin.opponent	
match.actions.lootroom	
match.actions.lookfortrouble	
kin.prompts.givelevelup	
kin.core.play.goupalevel	
kin.base.door.cleric.turning	
kin.base.door.cleric.resurrection.discard	
kin.base.door.floatingnose.bribe	
kin.base.door.halfling.runaway	
kin.base.door.helpmeout.discard	
kin.base.door.helpmeout.steal	
kin.base.door.helpmeout.steal.opponent	
kin.base.door.illusion.remove	
kin.base.door.illusion.add	
kin.base.door.lawyer.treasures	
kin.base.door.pitbull.distract	
kin.base.door.platycore.choose	
kin.base.door.platycore.button.discardhand	
kin.base.door.platycore.button.loselevels	
kin.base.door.snailsonspeed.discard	
kin.base.door.stonedgolem.avoid	
kin.base.door.thief.theft.discard	
kin.base.door.thief.theft.steal	
kin.base.door.thief.backstab.discard	
kin.base.door.thief.backstab.player	
kin.base.door.tonguedemon.loseitem	
kin.base.door.tonguedemon.loseitem.opponent	
kin.base.door.wanderingmonster.monster	
kin.base.door.warrior.berserking.discard	
kin.base.door.wizard.charm.monster	
kin.base.door.wizard.flight.discard	
kin.base.door.curse.losebigitem.discard	
kin.base.door.curse.losebigitem.discard.opponent	
kin.base.door.curse.loseclass.discard	
kin.base.door.curse.loseclass.discard.opponent	
kin.base.door.curse.losesmallitem.discard	
kin.base.door.curse.losesmallitem.discard.opponent	
kin.base.door.curse.obnoxious.discard	
kin.base.door.curse.obnoxious.discard.opponent	
kin.base.door.supermunchkin.play	
kin.base.door.halfbreed.play	
kin.base.door.hippogriff.steal	
kin.base.door.hippogriff.steal.opponent	
kin.base.door.curse.incometax.select	
kin.base.door.curse.incometax.tax	
kin.base.door.curse.incometax.tax.opponent	
kin.base.door.insurancesalesman.buy	
kin.base.door.insurancesalesman.buy.opponent	
kin.base.door.divineintervention.jumpin.cleric	
kin.base.door.divineintervention.jumpin.cleric.opponent	
kin.base.treasure.item.ratonastick.discard	
kin.base.treasure.item.flaskofglue	
kin.base.treasure.hireling.monster	
kin.base.treasure.play.halitosis	
kin.base.treasure.kneepadsofallure.compelled	
kin.base.lootthebody	
kin.base.lootthebody.opponent	
kin.combat.askforhelp.players	
kin.combat.askforhelp.bribe.type	
kin.askforhelp.choosehowtreasure	
kin.askforhelp.chooserandomtreasurecount	
kin.askforhelp.choosewhopickstreasure	
kin.askforhelp.choosecardsoffer	
kin.askforhelp.bribeoffer	
kin.askforhelp.sharetreasure	
kin.askforhelp.givecards	
kin.askforhelp.none	
kin.askforhelp.random	
kin.askforhelp.draft	
kin.askforhelp.ntreasure	
kin.askforhelp.onetreasure	
kin.askforhelp.twotreasure	
kin.askforhelp.threetreasure	
kin.askforhelp.pickn	
kin.askforhelp.pickone	
kin.askforhelp.picktwo	
kin.askforhelp.pickthree	
kin.askforhelp.draft.you	
kin.askforhelp.draft.them	
kin.core.sellitems	
kin.core.sellitems.opponent	
kin.nocards	
kin.pile.race	
kin.pile.class	
kin.pile.carried	
kin.pile.equipped	
kin.pile.useonparticipant	
kin.pile.useonmonster	
kin.pile.enhancemonster	
kin.runaway.activateability.preroll	
kin.runaway.activateability.postroll	
kin.core.play.item.swap	
kin.core.play.class.replace	
kin.core.play.race.replace	
kin.core.play.magiclamp	
kin.core.play.wishingring	
kin.prompts.activatecurseonplayer	
kin.confirm.discard.class	
kin.confirm.discard.race	
kin.die.preroll	
kin.die.header	
kin.die.postroll	
kin.choosebadstuff.discard	
kin.choosebadstuff.losetwolevels	
kin.waitingforplayer.selectavatar	
kin.core.play.wandofdousing.pickcard	
kin.base.door.cheat.item	
kin.jumpin.door.active	
kin.jumpin.attack.active	
kin.jumpin.beginpursuit.active	
kin.jumpin.runaway.active	
kin.jumpin.postrunaway.active	
kin.jumpin.postrunaway.opponent	
kin.jumpin.postcombat.active	
kin.jumpin.precurse.active	
kin.core.play.undead	
kin.prompt.askforhelp.draft.header	
kin.askforhelp.draft.yourpick	
kin.askforhelp.draft.opponentpick	
kin.core.play.monsterenhancer.selectmonster	
kin.prompt.swapitem.message	
kin.base.door.leperchaun.discard	
kin.base.door.leperchaun.discard.opponent	
kin.runaway.choose.monster	
kin.runaway.choose.monster.opponent	
kin.setup.character.raceclass	
kin.setup.character.raceclass.opponent	
kin.setup.character.item	
kin.setup.character.item.opponent	
kin.core.play.pollymorph	
kin.core.play.killhireling	
kin.combat.askforhelp.player.helper	
kin.combat.askforhelp.player.helper.opponent	
kin.combat.askforhelp.response	
kin.combat.askforhelp.response.subheader	
kin.bribes.none	
kin.askforhelp.receivecards	
kin.thief.roll	
kin.discardpile.treasure.header	
kin.discardpile.door.header	
kin.discardpile.choose.header	
kin.combat.rewards.pre.draw	
kin.modifyroll.subheader	
kin.discardpile.view.header	
kin.badstuff.roll	
dialogmessages.aitakeover	
kin.base.door.hireling.item	
kin.base.door.hireling.item.swap	
kin.jumpin.postroll	
kin.modifyroll.header	
kin.askforhelp.draftrequest	
kin.combat.askforhelp.waiting	
prompt.charity.header	
kin.modifyroll.minimumrequired	
kin.reconcile.lastchance	
kin.reconcile.lastchance.sell	
kin.reconcile.charity.discard	
kin.reconcile.charity.discard.opponent	
kin.reconcile.charity.give	
kin.reconcile.charity.give.opponent	
kin.reconcile.charity.giveplayer	
kin.resurrection.header	
kin.core.play.race.replace.alt	
kin.core.play.class.replace.alt	
kin.jumpin.precurse.opponent	
kin.jumpin.abilities.opponent	
kin.playerturn.charity.discard.opponent	
kin.playerturn.lookorloot.opponent	
kin.base.door.cleric.resurrection.discard.opponent	
kin.combat.rewards.pre.draw.opponent	
kin.draw.play.opponent	
kin.prompt.swapclass.message	
kin.prompt.swaprace.message	
kin.core.play.stealalevel	
kin.thief.roll.loadeddie	
kin.combat.askforhelp.response.opponent	
kin.trade.item.accept.opponent	
kin.jumpin.confirm.opponent	
kin.jumpin.stack.opponent	
kin.jumpin.opponent	
kin.jumpin.door.opponent	
kin.jumpin.attack.opponent	
kin.jumpin.beginpursuit.opponent	
kin.jumpin.runaway.opponent	
kin.jumpin.postcombat.opponent	
kin.base.door.curse.incometax.select.opponent	
kin.playerturn.draw.opponent	
kin.combat.rewards.draft.pick.opponent	
kin.base.door.nettroll.steal.opponent	
kin.player.changegear.opponent	
kin.playerturn.charity.lastchance.opponent	
kin.playerturn.charity.give.opponent	
kin.playerturn.charity.giveplayer.opponent	
kin.jumpin.postroll.opponent	
kin.reconcile.lastchance.opponent	
kin.reconcile.charity.giveplayer.opponent	
kin.base.door.snailsonspeed.discard.opponent	
kin.base.door.platycore.choose.opponent	
kin.combat.askforhelp.bribe.selections.opponent	
kin.combat.askforhelp.players.opponent	
kin.combat.askforhelp.bribe.type.opponent	
kin.runawaysuccess.ability	
kin.runaway.badstuff	
kin.runawaysuccess.ability.opponent	
kin.runaway.badstuff.opponent	
kin.runaway.rolltarget	
kin.base.door.nettroll.steal	
kin.tooltip.1	
kin.tooltip.gender.male	
kin.tooltip.gender.female	
kin.tooltip.editcharacter	
kin.tooltip.genderneutral	
kin.tooltip.fastplay	
kin.tooltip.sharedvictory	
kin.tooltip.playerhud.strength	
kin.tooltip.race.human	
kin.tooltip.race.dwarf	
kin.tooltip.race.elf	
kin.tooltip.race.halfling	
kin.tooltip.class.none	
kin.tooltip.class.cleric	
kin.tooltip.class.thief	
kin.tooltip.class.warrior	
kin.tooltip.class.wizard	
kin.tooltip.slowplay	
kin.tooltip.inventory	
kin.tooltip.askforhelp	
kin.tooltip.monsterstrength	
kin.tooltip.playerstrength	
kin.tooltip.loottheroom	
kin.tooltip.lookfortrouble	
kin.tooltip.aimood.neutral	
kin.tooltip.aimood.hostile	
kin.tooltip.aimood.veryhostile	
kin.tooltip.aimood.friendly	
kin.tooltip.aimood.veryfriendly	
kin.tooltip.ability.halfling	
kin.tooltip.ability.resurrection	
kin.tooltip.ability.turning	
kin.tooltip.ability.backstabbing	
kin.tooltip.ability.theft	
kin.tooltip.ability.berserking	
kin.tooltip.ability.flight	
kin.tooltip.ability.charm	
kin.tooltip.cardsinhand	
tooltip.actionlog	<b>Registro de acciones</b>
tooltip.challengeinfo	<b>Reglas del Desafío</b>
kin.tooltip.eotjumpinwindow	
kin.tooltip.discardpiles	
tooltip.friendslist.owned	
tooltip.friendslist.unowned	
kin.tooltip.ability.hireling1	
kin.tooltip.ability.hireling2	
kin.tooltip.heldbyhireling	
kin.tooltip.playedusingcheat	
log.actionlog	Registro de acciones
log.start.game	Empieza la partida
log.turn.start	
log.turn.start.your	
log.kick.door.result	
log.look.for.trouble	
log.loot.room	
log.cursed.door	
log.combat.start	
log.ask.help	
log.accept.help	
log.win.combat	
log.win.combat.with.help	
log.lose.combat	
log.lose.combat.with.help	
log.discard.monster	
log.play.card.generic	
log.monster.enhancer.bonus.strength	
log.monster.enhancer.add.treasure	
log.monster.enhancer.lose.treasure	
log.play.card.carried	
log.play.card.equipped	
log.levelup	
log.lose.levels	
log.draw	
log.face.up.draw	
log.draw.doors	
log.draw.treasures	
log.shuffle.deck	
log.die.roll	
log.run.away.success	
log.run.away.fail	
log.charity.give	
log.trade.items	
log.sell.items	
log.badstuff.death.1	
log.badstuff.death.2	
log.badstuff.death.3	
log.badstuff.hippogriff.infront	
log.badstuff.hippogriff.fromhand	
log.badstuff.king.tut	
log.badstuff.wight.brothers	
log.badstuff.unspeakable.horror	
log.badstuff.insurance.salesman	
log.badstuff.bigfoot	
log.tongue.demon.kiss	
log.wannabe.vampire.oogabooga	
log.badstuff.net.troll	
log.amazon.friend	
log.badstuff.amazon.class	
log.badstuff.amazon.noclass	
log.badstuff.ghoulfiends	
log.badstuff.face.sucker.gear	
log.lawyer.thief.courtesy	
log.badstuff.lawyer	
log.badstuff.platycore.discard	
log.badstuff.platycore.lose2	
log.badstuff.pukachu	
log.badstuff.shrieking.geek	
log.badstuff.leperchaun	
log.badstuff.snails.on.speed	
log.badstuff.gelatinous.octahedron	
log.pit.bull.give.stick	
log.badstuff.crabs	
log.badstuff.drooling.slime.gear	
log.badstuff.drooling.slime.nogear	
log.curse.effect.change.class	
log.curse.effect.lose class	
log.curse.effect.change.race	
log.curse.effect.lose.race	
log.curse.effect.change.sex	
log.curse.effect.chicken.head	
log.curse.remove.chicken.head	
log.curse.effect.doom.duck	
log.curse.effect.income.tax.1	
log.curse.effect.income.tax.2	
log.curse.effect.lose.big	
log.curse.effect.lose.level	
log.curse.effect.lose.small	
log.curse.effect.lose.armor	
log.curse.effect.lose.headgear	
log.curse.effect.lose.footgear	
log.curse.effect.lose.2.cards	
log.curse.effect.malign.mirror	
log.curse.effect.obnoxious.curse	
log.cleric.resurrect.draw	
log.cleric.resurrect.discard	
log.cleric.turning	
log.thief.backstab	
log.thief.theft.success	
log.thief.theft.fail	
log.warrior.berserking	
log.wizard.flight.spell	
log.wizard.charm.spell	
log.elf.helper	
log.halfling.double.sell	
log.halfling.luck	
log.sandals.protect	
log.update.race	
log.update.class	
log.update.sex	
log.wandering.monster	
log.automatic.escape	
log.badstuff.loseitems	
log.cheat.used	
log.divine.intervention	
log.doppelganger	
log.flask.of.glue	
log.halitosis.vs.nose	
log.help.me.out.here.steal	
log.hireling.equip	
log.hireling.killed	
log.hireling.sacrifice	
log.illusion	
log.kneepads.compel	
log.loaded.die	
log.monster.enhancer.lose.strength	
log.monster.enhancer.mate	
log.one.shot.bonus.monsters	
log.one.shot.bonus.players	
log.rat.stick.discard	
log.steal.level	
log.tuba.bonus.treasure	
log.undead.pile.on	
log.wand.of.dowsing	
log.wishing.ring	
log.trade.items.one.sided	
log.discard.generic	
log.no.combat.generic	
log.help.reward.random	
log.help.reward.draft	
log.help.reward.cards	
t1.intro	
t1.goal	
t1.char.build	
t1.moz.1.mobile	
t1.moz.1.pc	
t1.play.items	
t1.play.items.2	
t1.total.strength	
t1.play.items2	
t1.end.char.creation	
t1.turn1	
t1.harpies	
t1.tie.v1	
t1.class.v1	
t1.tie.v2	
t1.end.player.combat.phase	
t1.gary.ponfusion	
t1.easy	
t1.gary.potion	
t1.jump.in	
t1.oneshot.v1	
t1.oneshot.v2	
t1.rewards	
t1.charity.warning	
t1.sell	
t1.pass	
t1.op1.chainsaw	
t1.op1.jump.in	
t1.op1.gary.annoyed	
t1.op1.retort	
t1.op1.gary.sulk	
t1.op1.end.jump.in	
t1.kick	
t1.curse	
t1.curse.2	
t1.trouble	
t1.trouble.2	
t1.gary.comment	
t1.help	
t1.help.3	
t1.offer.2	
t1.offer.3	
t1.op2.fight	
t1.op2.enrage	
t1.op2.gary.grumble	
t1.op2.gary.loss	
t1.trade	
t1.trade.2	
t1.trade.4	
t1.op3.horror	
t1.op3.death	
t1.op3.death.2	
t1.op3.tutorial.end	
t1.op3.tutorial.end2	
t1.op3.tutorial.end3	
t1.play.items3.demo	
t1.charity.warning.demo	
t1.sell.demo	
t1.pass.demo	
t1.crabs.demo	
kin.tutorial.leave	
kin.tutorial.finish	
t1.op3.tutorial.end1	
t2.set.1	
t2.set.2	
t2.turn1.1	
t2.turn1.2	
t2.turn1.3	
t2.turn1.4	
t2.turn1.5	
t2.turn1.7	
t2.turn1.8	
t2.turn1.9	
t2.turn1.enemy.1	
t2.turn1.enemy.2	
t2.turn1.enemy.3	
t2.turn1.enemy.4	
t2.turn1.enemy.5	
t2.turn1.enemy.6	
t2.turn1.enemy.7	
t2.turn1.enemy.8	
t2.turn1.triggered.1	
t2.turn1.triggered.2	
t2.turn1.triggered.3	
ftt.undead	
ftt.multi.monster	
t1.curse.3	
tutorial.prompt.complete.header	
tutorial.prompt.complete.body	
tutorial.title.tutorial01	
tutorial.description.tutorial01	
tutorial.title.tutorial02	
tutorial.description.tutorial02	
tutorial.cardanatomy.title	
tutorial.cardanatomy.geartype	
tutorial.cardanatomy.goldcost	
tutorial.cardanatomy.cardtype	
eula.acceptterms	Acepto
eula.requestupdates	Enviadme noticias
eula.title	Acuerdo de licencia de usuario
eula.body	<b>Licencia</b><br>Al usar este juego de Dire Wolf Digital (el "juego") que contiene este software, usted acepta que este acuerdo de licencia de usuario final ("acuerdo") es un contrato legalmente vinculante y válido y acepta estar sujeto a él. Usted acepta acatar las leyes de propiedad intelectual y todos los términos y condiciones de este acuerdo.<br><br><uppercase>LEA ESTE ACUERDO DE LICENCIA DE USUARIO FINAL CUIDADOSAMENTE Y ASEGÚRESE DE COMPRENDER TODOS LOS SIGUIENTES TÉRMINOS Y CONDICIONES ANTES DE ACCEDER O USAR LOS SERVICIOS DEL JUEGO.</uppercase><br><br>Su uso del juego indica su aceptación de este acuerdo y garantía.<br><br>Sujeto a los términos de este acuerdo, Dire Wolf Digital le otorga una licencia limitada, no exclusiva e intransferible, sin derecho a sublicenciar, para uso del juego de acuerdo con este acuerdo y cualquier otro acuerdo escrito con Dire Wolf Digital. Dire Wolf Digital no te transfiere el título del juego; la licencia otorgada a usted no es una venta. Este acuerdo es un acuerdo legal vinculante entre Dire Wolf Digital y los compradores o usuarios del juego.<br><br>Si no acepta estar obligado por este acuerdo, elimine el juego de su ordenador o dispositivo similar ahora.<br><br><b>Distribución</b><br>El juego y la licencia aquí otorgadas no se copiarán, compartirán, distribuirán, revenderán, ofrecerán para reventa, transferirán ni otorgarán bajo licencia en su totalidad o en parte.<br><br><b>Acuerdo del usuario</b><br>Deberá usar el juego de conformidad con todas las leyes aplicables y no para ningún propósito ilegal. El uso del juego significa que ha cargado, instalado o ejecutado el juego en un ordenador o dispositivo similar.<br><br>Para usar la parte de servicios en línea del juego, debe crear una cuenta. Puede crear una cuenta solo si posee plena capacidad legal en su país de residencia y Dire Wolf Digital no le ha prohibido específicamente crear una cuenta. Para los propósitos de este acuerdo, los servicios en línea indican los medios y métodos para conectarse con otros jugadores para participar en el chat y jugar juegos de varios jugadores.<br><br>No debe usar, crear, promover o distribuir trucos, bots, hacks o cualquier software que explote, cambie o automatice el control, la jugabilidad o cualquier otra funcionalidad del juego.<br><br>No utilizará ningún proceso o software que recopile o coteje los datos generados o almacenados por el juego.<br><br>No utilizará, mostrará ni distribuirá del juego junto con material que es pornográfico, racista, vulgar, obsceno, difamatorio, calumnioso, abusivo, que promueve el odio, discrimina o muestra prejuicios basados en la religión, el patrimonio étnico, la raza, el género, la orientación sexual o la edad.<br><br><b>Restricción de derechos de autor</b><br>Este juego contiene material con derechos de autor, secretos comerciales y otro material patentado. No deberá, ni intentará, modificar, realizar ingeniería inversa, desmontar o descompilar el Juego. No debe crear obras derivadas u otras obras basadas o derivadas del juego en su totalidad o en parte.<br><br>El nombre, el logotipo y el archivo de gráficos de Direct Wolf Digital que representa el juego no se utilizarán de ninguna manera para promover productos digitales que no sean de Dire Wolf. Dire Wolf Digital retiene la propiedad única y exclusiva de todos los derechos, títulos e intereses en y sobre el juego y todos los derechos de propiedad intelectual relacionados con el mismo.<br><br>La ley de derechos de autor y las disposiciones del tratado internacional de derechos de autor protegen todas las partes del juego, productos y servicios. Ningún programa, código, parte, imagen, muestra de audio o texto puede ser copiado o utilizado de ninguna manera por el usuario, excepto según lo previsto dentro de los límites del programa de usuario único. Todos los derechos no otorgados expresamente en este documento están reservados para Dire Wolf Digital.<br><br><b>Limitaciones de responsabilidad</b><br>Indemnizará, mantendrá indemne y defenderá a Dire Wolf Digital, sus empleados, agentes y distribuidores contra cualquier reclamo, procedimiento, demanda y costos que resulten o estén relacionados de alguna manera con su uso del software de Dire Wolf Digital.<br><br>En ningún evento (incluidos, entre otros, en caso de negligencia) Dire Wolf Digital, sus empleados, agentes o distribuidores serán responsables de los daños consecuentes, incidentales, indirectos, especiales o punitivos (incluidos, entre otros, daños por pérdida de ganancias, pérdida de uso, interrupción del negocio, pérdida de información o datos, o pérdida pecuniaria), en relación con o derivada de este acuerdo, el juego o el uso o la imposibilidad de usar el juego o el suministro, el rendimiento o el uso de cualquier otro asunto a continuación, ya sea por contrato, agravio o cualquier otra teoría, incluida la negligencia.<br><br><b>Garantías</b><br>Según lo expresamente expresado por escrito, Dire Wolf Digital no hace ninguna representación o garantía con respecto a este software y excluye expresamente todas las demás garantías, expresas o implícitas, orales o escritas, incluyendo, sin limitación, cualquier garantía implícita de calidad comercial o idoneidad para un propósito particular.<br><br><b>Ley aplicable</b><br>Este acuerdo se regirá e interpretará de acuerdo con las leyes del estado de Colorado, sin tener en cuenta los principios de conflicto de leyes. Cualquier disputa que surja en virtud de este EULA se escuchará exclusivamente en un tribunal federal o estatal en la ciudad y el condado de Denver, Colorado, y usted acepta irrevocablemente la jurisdicción no exclusiva de dichos tribunales. Si alguna disposición de este acuerdo se considera ilegal, nula o de otra manera inaplicable, entonces dicha disposición se considerará separable de esta licencia y no afectará la validez y aplicabilidad de otras disposiciones.<br><br><b>Terminación</b><br>Cualquier incumplimiento de los términos y condiciones de este acuerdo dará lugar a la terminación automática e inmediata de esta licencia. Al finalizar esta licencia por cualquier motivo, usted acepta dejar de usar el juego inmediatamente y destruir todas las copias del juego suministradas en virtud de este acuerdo. Las obligaciones financieras contraídas por usted seguirán más allá del vencimiento o terminación de esta licencia.<br><br><b>Renuncia de garantía</b><br>ESTE SOFTWARE Y LOS ARCHIVOS COMPLEMENTARIOS SE PROPORCIONAN Y / O VENDEN "TAL CUAL" Y SIN GARANTÍAS DE NINGÚN TIPO, EXPRESAS O IMPLÍCITAS (INCLUYENDO, SIN LIMITACIÓN, CUALQUIER GARANTÍA IMPLÍCITA DE RENDIMIENTO, COMERCIABILIDAD O IDONEIDAD PARA UN PROPÓSITO EN PARTICULAR), LAS GARANTÍAS SE RECHAZAN AQUÍ. ESTA RENUNCIA DE RESPONSABILIDAD CUBRE TODOS LOS ARCHIVOS GENERADOS Y EDITADOS POR EL JUEGO.
ai.avatar.floatingnose	Nosy Ned
ai.avatar.wightbrothers	The Brothers Wight
ai.avatar.plutoniumdragon	Dr. Dragon
ai.avatar.bullrog	Fred
ai.avatar.pottedplant	Peaty Potter
ai.avatar.theshadow	The Shadow
ai.avatar.fredflametoe	Terry Flametoe
ai.avatar.largeangrychicken	Mr. Chicken
ai.avatar.mrbones	Ben Bonesly
ai.avatar.tonguedemon	Lana Longton
ai.avatar.nettroll	Ted Trollbooth
ai.avatar.carolcatsuit	Carol Catsuit
ai.avatar.slimysal	Slimy Sal
ai.avatar.harriethippietin	Harriet Hippietin
ai.avatar.sallyswording	Sally Butterknife
ai.avatar.earlyuppiedink	Earl Yuppiedink
ai.avatar.debbieaxerow	Debbie Axerow
ai.avatar.courageouscarl	Courageous Carl
ai.avatar.insurancesalesman	Sal from Sales
ai.avatar.stonedgolem	Rocky
ai.avatar.wannabeevampire	Count Wannabee
ai.avatar.pierrearrlington	Pierre Arrlington
ai.avatar.ghouliaghostly	Ghoulia Ghostly
ai.avatar.randyrulefinder	Randy Rulefinder
ai.avatar.ottoorcington	Otto Orcington
ai.avatar.mwelbybalding	Welby Balding
ai.avatar.pandolfpocus	Pandolf Pocus
ai.avatar.maulrat	Maulery Ratstuff
ai.avatar.breehornshield	Brie Hornshield
ai.avatar.sueshorterly	Sue Shorterly
ai.avatar.morwengreenfoot	Morwen Greenfoot
kin.challenge.trackmeet.name	
kin.challenge.trackmeet.normal.description	
kin.challenge.trackmeet.heroic.description	
kin.challenge.superduper.name	
kin.challenge.superduper.normal.description	
kin.challenge.superduper.heroic.description	
kin.challenge.rulesofattraction.name	
kin.challenge.rulesofattraction.normal.description	
kin.challenge.rulesofattraction.heroic.description	
kin.challenge.babyland.name	
kin.challenge.babyland.normal.description	
kin.challenge.babyland.heroic.description	
kin.challenge.veryhelpful.name	
kin.challenge.veryhelpful.normal.description	
kin.challenge.veryhelpful.heroic.description	
kin.challenge.dicechucker.name	
kin.challenge.dicechucker.normal.description	
kin.challenge.dicechucker.heroic.description	
kin.challenge.neveradullmoment.name	
kin.challenge.neveradullmoment.normal.description	
kin.challenge.neveradullmoment.heroic.description	
kin.challenge.charactersheetconfusion.name	
kin.challenge.charactersheetconfusion.normal.description	
kin.challenge.charactersheetconfusion.heroic.description	
kin.challenge.merchantofmenace.name	
kin.challenge.merchantofmenace.normal.description	
kin.challenge.merchantofmenace.heroic.description	
kin.challenge.loner.name	
kin.challenge.loner.normal.description	
kin.challenge.loner.heroic.description	
kin.challenge.doubletrouble.name	
kin.challenge.doubletrouble.normal.description	
kin.challenge.doubletrouble.heroic.description	
kin.challenge.pantslessjuggler.name	
kin.challenge.pantslessjuggler.normal.description	
kin.challenge.pantslessjuggler.heroic.description	
kin.challenge.curses.name	
